"                   ","NGLC"," ","Natural Gas Spot"," ","Citygate"," ","Residential"," ","Residential"," ","Commercial"," ","Commercial"," ","Industrial"," ","Industrial"," ","Electric Power"," "
"Year and Month     ","Price"," ","Price"," ","Price"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," "
"  October                 ","8.75","  ","3.78","  ","5.16","  ","13.11","  ","95.3","  ","8.97","  ","58.8","  ","5.03","  ","13.7","  ","4.23","  ",
"  November                 ","7.84","  ","4.12","  ","4.91","  ","10.19","  ","95.8","  ","8.29","  ","66.0","  ","5.02","  ","14.7","  ","4.68","  ",
"  December                 ","5.63","  ","3.48","  ","5.15","  ","10.01","  ","95.6","  ","8.53","  ","68.4","  ","5.62","  ","15.0","  ","4.50","  ",
"Annual Average","9.56","  ","4.37","  ","5.71","  ","10.97","  ","95.5","  ","8.90","  ","65.8","  ","5.62","  ","15.9","  ","5.19","  ",
"2015",
"  January                 ","5.08","  ","2.99","  ","4.48","  ","9.50","  ","95.7","  ","8.14","  ","70.9","  ","4.87","  ","15.0","  ","4.29","  ",
"  February                 ","5.70","  ","2.87","  ","4.57","  ","9.08","  ","95.6","  ","7.81","  ","71.0","  ","4.71","  ","15.4","  ","4.99","  ",
"  March                 ","5.52","  ","2.83","  ","4.36","  ","9.28","  ","95.4","  ","7.84","  ","69.9","  ","4.43","  ","15.6","  ","3.71","  ",
"  April                 ","5.58","  ","2.61","  ","3.93","  ","10.44","  ","95.4","  ","8.02","  ","64.8","  ","3.94","  ","14.9","  ","3.23","  ",
"  May                 ","5.25","  ","2.85","  ","4.24","  ","12.73","  ","95.4","  ","8.13","  ","61.2","  ","3.56","  ","15.4","  ","3.28","  ",
"  June                 ","4.78","  ","2.78","  ","4.44","  ","15.07","  ","95.5","  ","8.52","  ","57.9","  ","3.74","  ","14.9","  ","3.24","  ",
"  July                 ","4.73","  ","2.84","  ","4.65","  ","16.28","  ","95.7","  ","8.49","  ","56.9","  ","3.73","  ","14.9","  ","3.23","  ",
"  August                 ","4.42","  ","2.77","  ","4.59","  ","16.89","  ","95.4","  ","8.45","  ","55.6","  ","3.77","  ","14.6","  ","3.22","  ",
"  September                 ","4.89","  ","2.66","  ","4.56","  ","16.40","  ","95.9","  ","8.42","  ","55.8","  ","3.63","  ","14.8","  ","3.19","  ",
"  October                 ","4.95","  ","2.34","  ","4.00","  ","12.60","  ","95.5","  ","7.78","  ","59.5","  ","3.52","  ","14.9","  ","3.03","  ",
"  November                 ","4.72","  ","2.09","  ","3.68","  ","10.02","  ","96.0","  ","7.39","  ","63.9","  ","3.26","  ","15.1","  ","2.78","  ",
"  December                 ","4.23","  ","1.93","  ","3.75","  ","9.27","  ","96.1","  ","7.22","  ","67.6","  ","3.45","  ","15.2","  ","2.71","  ",
"Annual Average","4.97","  ","2.62","  ","4.26","  ","10.38","  ","95.7","  ","7.91","  ","65.9","  ","3.91","  ","15.1","  ","3.37","  ",
"2016",
"  January                 ","3.69","  ","2.28","  ","3.39","  ","8.30","  ","96.1","  ","6.74","  ","70.4","  ","3.62","  ","15.3","R","3.17","  ",
"  February                 ","3.89","  ","1.99","  ","3.48","  ","8.38","  ","95.9","  ","6.82","  ","69.4","  ","3.63","  ","15.4","R","2.83","  ",
"  March                 ","4.48","  ","1.73","  ","3.49","  ","9.21","  ","95.6","  ","7.05","  ","66.8","  ","3.04","  ","15.2","  ","2.33","  ",
"  April                 ","4.65","  ","1.92","  ","3.22","  ","9.65","  ","95.6","  ","6.94","  ","65.1","  ","3.00","  ","14.5","R","2.52","  ",
"  May                 ","5.11","  ","1.92","  ","3.45","  ","11.61","  ","95.4","  ","7.35","  ","60.2","  ","2.91","  ","14.6","R","2.49","  ",
"  June                 ","5.25","  ","2.59","  ","3.98","  ","14.47","  ","95.7","  ","7.71","  ","57.9","  ","2.89","R","14.6","R","2.77","  ",
"  July                 ","4.92","  ","2.82","  ","4.45","  ","16.58","  ","95.9","  ","8.11","  ","56.9","R","3.56","  ","14.3","R","3.07","  ",
"  August                 ","4.94","  ","2.82","  ","4.37","  ","17.63","  ","95.8","  ","8.25","  ","54.7","R","3.58","  ","14.7","R","3.07","  ",
"  September                 ","5.25","  ","2.99","  ","4.59","  ","16.80","  ","96.1","  ","8.27","  ","56.0","R","3.73","  ","14.6","R","3.19","  ",
"  October                 ","6.05","  ","2.98","  ","4.19","  ","13.74","  ","95.9","  ","7.93","  ","59.8","  ","3.87","  ","14.5","R","3.24","  ",
"  November                 ","5.45","  ","2.55","  ","3.88","  ","10.76","  ","96.0","  ","7.58","  ","63.6","  ","3.86","  ","14.7","  ","3.14","  ",
"2016 11-Month YTD","4.90","  ","2.42","  ","3.67","  ","10.26","  ","95.8","  ","7.25","  ","64.3","  ","3.43","  ","14.8","  ","2.91","  ",
"2015 11-Month YTD","5.05","  ","2.69","  ","4.33","  ","10.53","  ","95.6","  ","7.99","  ","65.5","  ","3.95","  ","15.0","  ","3.43","  ",
"2014 11-Month YTD","9.95","  ","4.46","  ","5.80","  ","11.13","  ","95.5","  ","8.96","  ","65.4","  ","5.62","  ","14.8","  ","5.24","  ",
