"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","November 2016"," ","November 2016"," ","November 2016"," ","October 2016"," ","October 2016"," ","October 2016"," ","September 2016"," ","September 2016"," ","September 2016"," ","August 2016"," ","August 2016"," ","August 2016"," ","July 2016"," ","July 2016"," ","July 2016"," ","June 2016"," ","June 2016"," ","June 2016"," ","May 2016"," ","May 2016"," ","May 2016"," ","April 2016"," ","April 2016"," ","April 2016"," ","March 2016"," ","March 2016"," ","March 2016"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," "
"Georgia","0.0","NA","100.0","  ","22.3","  ","100.0","  ","100.0","  ","21.1","  ","100.0","  ","100.0","  ","19.8","  ","100.0","  ","100.0","  ","23.5","  ","100.0","  ","100.0","  ","22.2","  ","0.0","NA","100.0","  ","21.0","  ","100.0","  ","100.0","  ","23.9","  ","100.0","  ","100.0","  ","22.9","  ","100.0","  ","100.0","  ","23.2","  ","100.0","  ","100.0","  ","21.6","  ","100.0","  ","100.0","  ","22.7","  ","100.0","  ","100.0","  ","21.8","  ","100.0","  ","100.0","  ","22.4","  ","100.0","  ","100.0","  ","20.8","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","20.7","  ","100.0","  ","100.0","  ","20.6","  ","100.0","  ","100.0","  ","21.0","  ",
"Hawaii","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ",
"Idaho","100.0","  ","72.6","  ","0.0","NA","100.0","  ","73.0","  ","2.4","  ","100.0","  ","75.6","  ","2.8","  ","100.0","  ","75.5","  ","0.0","NA","100.0","  ","67.2","  ","0.0","NA","100.0","  ","59.6","  ","2.2","  ","100.0","  ","61.4","  ","2.5","  ","100.0","  ","58.9","  ","2.4","  ","100.0","  ","59.8","  ","2.5","  ","100.0","  ","62.4","  ","2.3","  ","100.0","  ","67.4","  ","2.4","  ","100.0","  ","76.5","  ","2.3","  ","100.0","  ","80.3","  ","2.3","  ","100.0","  ","83.3","  ","2.4","  ","100.0","  ","74.6","  ","2.4","  ","100.0","  ","83.4","  ","2.4","  ","100.0","  ","78.9","  ","2.1","  ","100.0","  ","66.8","  ","2.1","  ",
"Illinois","86.3","  ","0.0","NA","0.0","NA","86.2","  ","35.7","  ","6.0","  ","87.5","  ","38.5","  ","6.2","  ","88.1","  ","33.7","  ","5.6","  ","87.1","  ","28.9","  ","4.1","  ","86.1","  ","22.1","  ","0.0","NA","86.0","  ","0.0","NA","2.2","  ","85.7","  ","22.0","  ","0.0","NA","86.3","  ","23.8","  ","0.0","NA","82.9","  ","24.9","  ","0.0","NA","84.7","  ","32.6","  ","5.4","  ","84.5","  ","35.3","  ","7.4","  ","86.5","  ","39.8","  ","9.1","  ","87.5","  ","41.1","  ","10.3","  ","86.3","  ","36.1","  ","5.9","  ","86.8","  ","37.1","  ","7.6","  ","88.1","  ","35.4","  ","5.8","  ","87.1","  ","30.1","  ","4.1","  ",
"Indiana","0.0","NA","0.0","NA","1.7","  ","95.7","  ","66.9","  ","1.9","  ","95.2","  ","67.3","  ","2.1","  ","95.9","  ","66.5","  ","1.6","  ","95.0","  ","63.7","  ","1.5","  ","95.6","  ","56.2","  ","1.0","  ","95.6","  ","50.7","  ","1.0","  ","95.1","  ","53.6","  ","0.9","  ","95.0","  ","54.1","  ","1.0","  ","95.2","  ","59.6","  ","1.3","  ","0.0","NA","0.0","NA","1.8","  ","95.3","  ","64.0","  ","2.1","  ","95.9","  ","70.2","  ","2.7","  ","96.1","  ","71.6","  ","3.1","  ","95.8","  ","67.0","  ","1.9","  ","95.9","  ","67.8","  ","2.0","  ","95.9","  ","65.6","  ","1.6","  ","95.4","  ","64.1","  ","1.4","  ",
"Iowa","100.0","  ","0.0","NA","0.0","NA","100.0","  ","70.1","  ","3.5","  ","100.0","  ","74.2","  ","4.1","  ","100.0","  ","69.2","  ","0.0","NA","100.0","  ","65.9","  ","4.3","  ","100.0","  ","0.0","NA","3.0","  ","100.0","  ","49.1","  ","2.6","  ","100.0","  ","53.8","  ","2.2","  ","100.0","  ","57.3","  ","2.4","  ","100.0","  ","62.0","  ","3.5","  ","100.0","  ","69.7","  ","3.4","  ","100.0","  ","69.8","  ","4.3","  ","100.0","  ","75.2","  ","0.0","NA","100.0","  ","76.9","  ","4.3","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","75.2","  ","3.8","  ","100.0","  ","70.4","  ","5.7","  ","100.0","  ","67.2","  ","4.7","  ",
"Kansas","0.0","NA","0.0","NA","0.0","NA","100.0","  ","56.4","  ","9.8","  ","100.0","  ","57.9","  ","9.1","  ","0.0","NA","50.4","  ","4.5","  ","100.0","  ","37.6","  ","0.0","NA","100.0","  ","30.4","  ","12.6","  ","100.0","  ","29.6","  ","21.4","  ","100.0","  ","32.1","  ","18.3","  ","100.0","  ","35.3","  ","13.5","  ","100.0","  ","0.0","NA","5.6","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","49.9","  ","4.3","  ","100.0","  ","65.8","  ","1.3","  ","100.0","  ","68.6","  ","0.8","  ","100.0","  ","57.0","  ","0.0","NA","100.0","  ","58.6","  ","1.2","  ","100.0","  ","52.7","  ","2.6","  ","100.0","  ","39.7","  ","5.8","  ",
"Kentucky","96.8","  ","77.2","  ","17.6","  ","96.3","  ","79.1","  ","16.2","  ","96.3","  ","79.9","  ","17.2","  ","98.1","  ","73.8","  ","16.6","  ","98.0","  ","69.3","  ","16.9","  ","97.6","  ","66.8","  ","17.3","  ","97.6","  ","64.7","  ","17.6","  ","97.2","  ","67.3","  ","18.2","  ","96.3","  ","66.9","  ","19.0","  ","96.2","  ","71.0","  ","17.5","  ","96.2","  ","75.6","  ","18.3","  ","95.9","  ","79.7","  ","17.1","  ","96.4","  ","83.5","  ","18.4","  ","97.2","  ","83.3","  ","16.8","  ","96.3","  ","79.2","  ","16.0","  ","96.7","  ","80.6","  ","16.6","  ","97.4","  ","76.0","  ","16.5","  ","97.6","  ","72.3","  ","15.7","  ",
"Louisiana","0.0","NA","0.0","NA","0.0","NA","100.0","  ","78.6","  ","3.1","  ","100.0","  ","78.8","  ","3.3","  ","100.0","  ","75.0","  ","0.0","NA","0.0","NA","73.6","  ","3.2","  ","100.0","  ","76.0","  ","3.1","  ","100.0","  ","75.4","  ","3.1","  ","100.0","  ","0.0","NA","2.9","  ","100.0","  ","78.1","  ","3.0","  ","100.0","  ","75.8","  ","3.0","  ","100.0","  ","79.4","  ","3.5","  ","100.0","  ","81.0","  ","3.4","  ","100.0","  ","81.0","  ","3.8","  ","100.0","  ","78.3","  ","3.4","  ","100.0","  ","79.1","  ","2.0","  ","100.0","  ","75.6","  ","2.8","  ","100.0","  ","72.4","  ","3.0","  ","100.0","  ","74.1","  ","2.9","  ",
"Maine","0.0","NA","0.0","NA","0.0","NA","100.0","  ","52.5","  ","4.9","  ","100.0","  ","48.1","  ","1.7","  ","100.0","  ","54.3","  ","11.8","  ","100.0","  ","49.8","  ","6.9","  ","0.0","NA","0.0","NA","5.1","  ","100.0","  ","47.4","  ","5.7","  ","100.0","  ","49.9","  ","5.6","  ","100.0","  ","50.8","  ","0.0","NA","100.0","  ","56.6","  ","0.0","NA","100.0","  ","60.5","  ","0.0","NA","100.0","  ","60.0","  ","0.0","NA","100.0","  ","61.4","  ","0.0","NA","100.0","  ","60.1","  ","0.0","NA","100.0","  ","51.5","  ","0.0","NA","100.0","  ","58.8","  ","11.2","  ","100.0","  ","54.8","  ","9.1","  ","100.0","  ","49.3","  ","5.7","  ",
"Maryland","73.9","  ","25.3","  ","0.0","NA","72.7","  ","27.8","  ","7.5","  ","72.8","  ","26.9","  ","7.0","  ","75.9","  ","24.0","  ","7.2","  ","74.4","  ","21.2","  ","2.7","  ","73.5","  ","16.8","  ","0.0","NA","71.7","  ","18.4","  ","0.0","NA","71.5","  ","16.0","  ","1.3","  ","72.3","  ","20.0","  ","2.0","  ","71.6","  ","24.3","  ","4.0","  ","73.6","  ","25.3","  ","6.0","  ","72.5","  ","28.4","  ","8.9","  ","74.4","  ","30.5","  ","12.5","  ","75.0","  ","30.3","  ","14.0","  ","72.7","  ","27.4","  ","0.0","NA","72.5","  ","25.1","  ","8.2","  ","74.1","  ","28.6","  ","5.3","  ","72.9","  ","23.4","  ","3.3","  ",
"Massachusetts","98.9","  ","41.0","  ","22.9","  ","99.5","  ","45.3","  ","26.8","  ","99.5","  ","41.6","  ","21.7","  ","98.7","  ","38.9","  ","19.7","  ","98.6","  ","31.5","  ","19.3","  ","98.7","  ","24.2","  ","19.5","  ","98.6","  ","23.7","  ","18.4","  ","98.6","  ","27.3","  ","20.6","  ","98.5","  ","28.7","  ","20.8","  ","98.7","  ","36.9","  ","21.5","  ","98.9","  ","43.5","  ","24.7","  ","99.0","  ","49.2","  ","28.9","  ","99.1","  ","49.4","  ","27.0","  ","99.2","  ","47.7","  ","23.3","  ","99.4","  ","0.0","NA","26.3","  ","99.2","  ","44.2","  ","24.6","  ","99.3","  ","37.8","  ","19.9","  ","99.3","  ","32.2","  ","18.2","  ",
"Michigan","92.8","  ","54.3","  ","0.0","NA","92.8","  ","55.5","  ","6.8","  ","92.1","  ","54.7","  ","7.4","  ","93.2","  ","54.8","  ","5.6","  ","93.1","  ","48.7","  ","3.5","  ","93.6","  ","38.9","  ","0.0","NA","92.1","  ","32.8","  ","2.5","  ","92.9","  ","38.4","  ","2.3","  ","92.3","  ","41.1","  ","2.6","  ","92.3","  ","49.5","  ","4.4","  ","92.8","  ","57.7","  ","6.6","  ","92.5","  ","58.7","  ","8.5","  ","92.8","  ","60.0","  ","9.9","  ","93.0","  ","60.5","  ","9.4","  ","92.8","  ","55.4","  ","0.0","NA","93.1","  ","56.8","  ","8.5","  ","93.0","  ","54.5","  ","6.1","  ","92.9","  ","48.7","  ","3.4","  ",
"Minnesota","100.0","  ","0.0","NA","0.0","NA","100.0","  ","83.6","  ","15.5","  ","100.0","  ","89.5","  ","17.2","  ","100.0","  ","87.7","  ","17.7","  ","100.0","  ","83.3","  ","16.6","  ","100.0","  ","75.6","  ","0.0","NA","100.0","  ","74.7","  ","12.4","  ","100.0","  ","72.6","  ","11.0","  ","100.0","  ","73.0","  ","10.4","  ","100.0","  ","0.0","NA","14.5","  ","100.0","  ","83.5","  ","0.0","NA","100.0","  ","83.9","  ","15.1","  ","100.0","  ","84.1","  ","0.0","NA","100.0","  ","88.1","  ","0.0","NA","100.0","  ","84.3","  ","0.0","NA","100.0","  ","89.0","  ","15.3","  ","100.0","  ","82.4","  ","18.1","  ","100.0","  ","82.8","  ","15.0","  ",
"Mississippi","0.0","NA","0.0","NA","9.6","  ","99.7","  ","85.7","  ","9.5","  ","100.0","  ","87.4","  ","10.0","  ","100.0","  ","0.0","NA","9.4","  ","100.0","  ","81.0","  ","10.9","  ","100.0","  ","80.3","  ","10.9","  ","100.0","  ","81.2","  ","9.0","  ","100.0","  ","79.6","  ","8.8","  ","0.0","NA","79.9","  ","8.8","  ","100.0","  ","80.2","  ","8.3","  ","0.0","NA","82.7","  ","9.2","  ","100.0","  ","86.0","  ","11.0","  ","100.0","  ","88.1","  ","11.6","  ","100.0","  ","88.5","  ","8.6","  ","99.7","  ","0.0","NA","9.0","  ","100.0","  ","86.6","  ","8.7","  ","100.0","  ","79.7","  ","8.8","  ","100.0","  ","82.3","  ","9.2","  ",
"Missouri","100.0","  ","70.9","  ","0.0","NA","100.0","  ","71.0","  ","12.5","  ","100.0","  ","69.9","  ","13.8","  ","100.0","  ","65.1","  ","10.5","  ","100.0","  ","61.0","  ","0.0","NA","100.0","  ","61.2","  ","9.0","  ","100.0","  ","60.1","  ","8.6","  ","100.0","  ","60.6","  ","8.2","  ","100.0","  ","61.4","  ","8.5","  ","100.0","  ","62.8","  ","8.5","  ","100.0","  ","69.5","  ","11.4","  ","100.0","  ","75.8","  ","12.9","  ","100.0","  ","76.4","  ","16.0","  ","100.0","  ","78.9","  ","14.2","  ","100.0","  ","71.1","  ","12.3","  ","100.0","  ","73.1","  ","12.4","  ","100.0","  ","65.8","  ","9.9","  ","100.0","  ","58.9","  ","9.2","  ",
"Montana","99.6","  ","47.3","  ","0.0","NA","99.7","  ","52.3","  ","1.4","  ","99.9","  ","53.5","  ","1.4","  ","99.5","  ","41.7","  ","1.1","  ","99.6","  ","40.6","  ","0.0","NA","99.5","  ","37.2","  ","0.0","NA","99.5","  ","37.6","  ","0.0","NA","99.5","  ","39.5","  ","0.0","NA","99.5","  ","44.0","  ","0.0","NA","99.5","  ","43.9","  ","1.2","  ","99.6","  ","52.3","  ","0.0","NA","99.6","  ","47.3","  ","0.0","NA","99.7","  ","52.0","  ","1.9","  ","99.7","  ","55.8","  ","1.9","  ","99.7","  ","0.0","NA","0.0","NA","99.8","  ","54.0","  ","1.6","  ","99.8","  ","47.3","  ","1.6","  ","99.7","  ","43.5","  ","1.6","  ",
"Nebraska","87.7","  ","58.6","  ","6.1","  ","88.0","  ","55.8","  ","7.1","  ","87.6","  ","55.7","  ","7.3","  ","85.2","  ","47.5","  ","5.7","  ","88.1","  ","57.0","  ","5.2","  ","88.0","  ","54.1","  ","5.1","  ","90.0","  ","55.8","  ","4.5","  ","88.6","  ","55.9","  ","4.4","  ","87.7","  ","56.6","  ","5.7","  ","85.3","  ","56.4","  ","6.2","  ","86.0","  ","58.4","  ","6.3","  ","89.2","  ","63.4","  ","7.5","  ","89.6","  ","61.2","  ","8.6","  ","86.5","  ","60.4","  ","8.9","  ","87.8","  ","56.1","  ","7.1","  ","87.0","  ","58.1","  ","6.7","  ","84.0","  ","48.4","  ","6.4","  ","87.4","  ","52.4","  ","5.6","  ",
"Nevada","0.0","NA","0.0","NA","0.0","NA","100.0","  ","56.7","  ","12.0","  ","100.0","  ","57.8","  ","13.0","  ","100.0","  ","55.7","  ","13.6","  ","0.0","NA","0.0","NA","11.9","  ","100.0","  ","48.5","  ","0.0","NA","100.0","  ","47.4","  ","0.0","NA","100.0","  ","49.0","  ","0.0","NA","100.0","  ","51.6","  ","9.2","  ","100.0","  ","53.1","  ","10.7","  ","100.0","  ","55.5","  ","11.7","  ","100.0","  ","59.7","  ","12.5","  ","100.0","  ","67.7","  ","17.8","  ","100.0","  ","69.5","  ","20.7","  ","100.0","  ","57.9","  ","0.0","NA","100.0","  ","65.8","  ","14.7","  ","100.0","  ","58.8","  ","17.6","  ","100.0","  ","47.0","  ","9.6","  ",
"New Hampshire","100.0","  ","53.6","  ","0.0","NA","100.0","  ","58.7","  ","9.8","  ","100.0","  ","56.7","  ","8.8","  ","100.0","  ","51.0","  ","4.6","  ","100.0","  ","47.2","  ","2.7","  ","100.0","  ","47.2","  ","1.9","  ","100.0","  ","47.4","  ","2.4","  ","100.0","  ","44.2","  ","2.7","  ","100.0","  ","46.5","  ","0.0","NA","100.0","  ","50.7","  ","0.0","NA","100.0","  ","53.4","  ","0.0","NA","100.0","  ","55.8","  ","0.0","NA","100.0","  ","57.3","  ","0.0","NA","100.0","  ","57.4","  ","10.0","  ","100.0","  ","58.4","  ","0.0","NA","100.0","  ","55.4","  ","8.5","  ","100.0","  ","53.1","  ","6.8","  ","100.0","  ","48.8","  ","5.2","  ",
"New Jersey","94.3","  ","37.0","  ","0.0","NA","93.3","  ","41.4","  ","6.8","  ","90.4","  ","31.8","  ","6.2","  ","94.4","  ","38.9","  ","0.0","NA","94.6","  ","30.5","  ","3.2","  ","94.2","  ","19.4","R","2.2","  ","94.2","  ","16.5","R","0.0","NA","94.2","  ","22.4","R","0.0","NA","94.4","  ","24.3","  ","3.0","  ","94.5","  ","31.5","  ","3.3","  ","94.3","  ","42.8","  ","5.5","  ","94.4","  ","41.2","  ","9.8","  ","94.2","  ","46.4","  ","12.1","  ","94.2","  ","47.4","  ","8.8","  ","93.4","  ","0.0","NA","0.0","NA","94.3","  ","42.0","  ","7.2","  ","94.0","  ","37.2","  ","4.4","  ","94.0","  ","27.3","  ","2.7","  ",
