"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","0.00","W ","0.00","W ","0.00","W ","3.59","  ","3.59","  ","3.33","  ","3.30","  ","3.03","  ","2.44","  ","2.40","  ","2.23","  ","0.00","W ","0.00","W ","3.27","  ","0.00","W ","2.64","  ","2.85","  ","3.31","  ","3.36","  ","3.40","  ","3.38","  ","3.57","  ","3.28","  ","3.42","  ","0.00","W ","0.00","W ","4.98","  ","4.06","  ","4.71","  ","4.36","  ","4.56","  ","4.51","  ","4.75","  ","5.29","  ","5.35","  ","5.43","  ","0.00","W ","0.00","W ","5.57","  ",
"Hawaii","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Idaho","3.10","  ","3.44","  ","0.00","W ","4.78","  ","3.38","  ","2.89","  ","2.83","  ","2.47","  ","2.41","  ","11.72","  ","2.26","  ","2.25","  ","2.67","  ","2.89","  ","2.41","  ","2.72","  ","2.92","  ","3.01","  ","2.92","  ","2.85","  ","2.74","  ","3.08","  ","3.05","  ","16.18","  ","0.00","--","3.03","  ","0.00","W ","5.44","  ","4.95","  ","9.58","  ","4.46","  ","4.31","  ","4.43","  ","6.72","  ","9.94","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Illinois","0.00","W ","0.00","W ","0.00","W ","3.18","  ","3.29","  ","3.07","  ","3.05","  ","0.00","W ","2.25","  ","2.24","  ","2.32","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.12","  ","0.00","W ","0.00","W ","3.04","  ","0.00","W ","0.00","W ","0.00","W ","4.81","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","4.17","  ","0.00","W ","0.00","W ","0.00","W ","5.24","  ","5.28","  ","0.00","W ","0.00","W ","0.00","W ","15.05","  ",
"Indiana","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Iowa","2.69","  ","3.39","  ","6.54","  ","3.00","  ","3.00","  ","2.94","  ","2.83","  ","2.63","  ","2.10","  ","2.61","  ","2.23","  ","2.57","  ","2.96","  ","3.23","  ","2.60","  ","5.06","  ","2.89","  ","2.98","  ","3.12","  ","3.06","  ","3.07","  ","3.18","  ","2.98","  ","3.43","  ","4.70","  ","4.98","  ","6.16","  ","4.13","  ","5.40","  ","4.08","  ","4.29","  ","4.21","  ","5.36","  ","5.82","  ","5.59","  ","6.99","  ","20.70","  ","17.00","  ","12.72","  ",
"Kansas","3.38","  ","3.93","  ","5.87","  ","3.96","  ","3.52","  ","3.53","  ","3.26","  ","3.07","  ","3.15","  ","3.16","  ","2.84","  ","4.22","  ","4.26","  ","3.95","  ","4.66","  ","4.03","  ","4.88","  ","3.68","  ","3.70","  ","3.52","  ","3.68","  ","4.33","  ","4.32","  ","4.06","  ","4.50","  ","5.25","  ","5.65","  ","4.69","  ","5.47","  ","5.14","  ","5.04","  ","4.81","  ","5.11","  ","5.33","  ","5.25","  ","5.70","  ","7.66","  ","10.85","  ","6.11","  ",
"Kentucky","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.35","  ","0.00","W ","0.00","W ","0.00","W ","2.50","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","6.78","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Louisiana","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.08","  ","2.63","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.20","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Maine","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Maryland","2.93","  ","0.00","W ","0.00","W ","2.75","  ","2.47","  ","2.97","  ","2.94","  ","3.01","  ","2.50","  ","2.40","  ","2.69","  ","5.64","  ","3.59","  ","4.06","  ","3.13","  ","3.11","  ","3.05","  ","3.18","  ","4.07","  ","3.73","  ","3.09","  ","3.25","  ","2.58","  ","0.00","W ","0.00","W ","6.65","  ","5.35","  ","0.00","W ","4.86","  ","0.00","W ","4.46","  ","4.27","  ","4.73","  ","5.36","  ","0.00","W ","5.52","  ","6.73","  ","10.75","  ","0.00","W ",
"Massachusetts","2.92","  ","4.58","  ","6.50","  ","3.36","  ","2.97","  ","3.18","  ","2.86","  ","2.34","  ","2.11","  ","2.99","  ","1.99","  ","3.46","  ","4.73","  ","4.38","  ","2.53","  ","3.62","  ","4.31","  ","4.14","  ","3.08","  ","2.57","  ","3.18","  ","3.16","  ","3.36","  ","8.64","  ","13.60","  ","12.21","  ","6.66","  ","9.13","  ","5.68","  ","3.60","  ","3.78","  ","3.19","  ","4.11","  ","4.69","  ","4.23","  ","5.38","  ","12.90","  ","21.95","  ","18.76","  ",
"Michigan","2.73","  ","3.39","  ","7.05","  ","3.19","  ","3.32","  ","3.12","  ","3.04","  ","2.75","  ","2.28","  ","2.31","  ","2.14","  ","2.37","  ","2.66","  ","3.21","  ","2.17","  ","2.56","  ","2.91","  ","3.32","  ","3.40","  ","3.30","  ","3.18","  ","3.25","  ","3.24","  ","3.57","  ","4.11","  ","3.61","  ","6.71","  ","4.37","  ","4.96","  ","4.51","  ","4.67","  ","4.66","  ","5.12","  ","5.34","  ","5.27","  ","5.38","  ","12.31","  ","12.39","  ","7.96","  ",
"Minnesota","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Mississippi","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Missouri","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Montana","0.00","--","0.00","--","0.00","W ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Nebraska","3.27","  ","4.02","  ","5.91","  ","3.54","  ","3.70","  ","3.48","  ","3.41","  ","3.32","  ","2.77","  ","2.44","  ","2.34","  ","2.81","  ","3.52","  ","3.97","  ","3.63","  ","3.37","  ","3.22","  ","3.38","  ","5.08","  ","3.81","  ","3.59","  ","4.01","  ","3.63","  ","4.02","  ","4.90","  ","4.48","  ","5.84","  ","4.89","  ","5.25","  ","4.63","  ","5.01","  ","4.74","  ","4.89","  ","5.47","  ","6.15","  ","5.71","  ","11.85","  ","15.47","  ","7.75","  ",
"Nevada","2.93","  ","3.41","  ","0.00","W ","3.50","  ","3.39","  ","3.23","  ","3.38","  ","2.57","  ","2.54","  ","2.40","  ","2.30","  ","2.78","  ","2.98","  ","3.34","  ","3.00","  ","2.85","  ","3.24","  ","3.30","  ","3.38","  ","3.43","  ","3.43","  ","3.21","  ","3.27","  ","3.45","  ","3.54","  ","4.10","  ","0.00","W ","4.98","  ","4.69","  ","4.78","  ","4.81","  ","4.71","  ","5.44","  ","5.34","  ","0.00","W ","5.85","  ","7.01","  ","6.17","  ","5.35","  ",
"New Hampshire","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"New Jersey","2.06","  ","3.21","  ","4.91","  ","1.86","  ","1.70","  ","1.92","  ","2.09","  ","2.13","  ","1.95","  ","1.76","  ","1.62","  ","2.83","  ","3.02","  ","2.96","  ","1.71","  ","1.80","  ","2.00","  ","2.08","  ","2.20","  ","2.07","  ","2.34","  ","2.32","  ","2.43","  ","3.67","  ","9.88","  ","5.80","  ","4.86","  ","3.94","  ","4.15","  ","2.75","  ","2.90","  ","2.79","  ","3.34","  ","3.79","  ","3.81","  ","4.66","  ","6.19","  ","8.31","  ","15.15","  ",
"New Mexico","2.98","  ","3.34","  ","5.11","  ","3.30","  ","3.43","  ","3.30","  ","3.31","  ","2.87","  ","2.47","  ","2.69","  ","2.56","  ","2.57","  ","2.91","  ","3.21","  ","2.46","  ","2.64","  ","3.11","  ","3.13","  ","3.28","  ","3.86","  ","3.61","  ","3.26","  ","3.03","  ","3.09","  ","3.11","  ","3.71","  ","4.93","  ","4.00","  ","4.51","  ","4.79","  ","4.61","  ","4.59","  ","4.79","  ","5.35","  ","5.20","  ","5.22","  ","5.21","  ","6.86","  ","4.98","  ",
"New York","2.55","  ","3.65","  ","5.69","  ","1.98","  ","2.18","  ","2.54","  ","2.75","  ","2.38","  ","2.12","  ","2.36","  ","2.22","  ","3.41","  ","3.76","  ","3.51","  ","2.96","  ","2.69","  ","2.60","  ","2.51","  ","2.61","  ","2.56","  ","2.71","  ","2.76","  ","2.82","  ","4.48","  ","9.93","  ","6.24","  ","5.42","  ","4.71","  ","4.63","  ","3.28","  ","3.29","  ","3.36","  ","3.96","  ","4.40","  ","4.69","  ","5.19","  ","8.44","  ","11.00","  ","11.85","  ",
"North Carolina","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"North Dakota","2.64","  ","2.85","  ","4.37","  ","3.10","  ","3.07","  ","2.98","  ","2.88","  ","2.63","  ","2.04","  ","2.09","  ","1.90","  ","2.22","  ","2.45","  ","2.89","  ","2.07","  ","2.08","  ","2.67","  ","3.09","  ","3.03","  ","2.87","  ","2.70","  ","2.71","  ","2.75","  ","2.73","  ","2.93","  ","2.74","  ","4.09","  ","4.05","  ","4.98","  ","3.38","  ","3.46","  ","3.68","  ","4.19","  ","5.63","  ","4.71","  ","0.00","--","8.38","  ","0.00","--","0.00","--",
"Ohio","2.27","  ","2.50","  ","0.00","W ","2.30","  ","2.59","  ","2.55","  ","2.80","  ","2.32","  ","2.03","  ","2.01","  ","1.63","  ","2.00","  ","2.20","  ","2.42","  ","1.91","  ","2.09","  ","2.17","  ","2.26","  ","2.25","  ","2.30","  ","2.20","  ","2.38","  ","2.23","  ","2.75","  ","3.31","  ","2.92","  ","4.31","  ","3.65","  ","3.80","  ","0.00","W ","3.35","  ","3.31","  ","3.69","  ","4.27","  ","4.49","  ","4.68","  ","5.54","  ","6.62","  ","5.51","  ",
"Oklahoma","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","5.20","  ","0.00","W ","7.08","  ","5.30","  ",
"Oregon","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","2.66","  ","2.85","  ","3.12","  ","3.24","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","5.11","  ","0.00","W ","5.18","  ","5.93","  ","0.00","W ","0.00","W ",
"Pennsylvania","1.78","  ","2.68","  ","5.27","  ","1.29","  ","1.51","  ","1.68","  ","1.86","  ","1.90","  ","1.65","  ","1.61","  ","1.43","  ","2.33","  ","2.70","  ","2.52","  ","1.55","  ","1.59","  ","1.71","  ","2.00","  ","1.80","  ","2.02","  ","1.83","  ","2.01","  ","2.02","  ","3.06","  ","8.29","  ","4.28","  ","5.04","  ","3.21","  ","3.80","  ","2.27","  ","2.45","  ","2.55","  ","2.94","  ","3.39","  ","3.87","  ","4.49","  ","6.16","  ","8.72","  ","21.06","  ",
"Rhode Island","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","2.92","  ","0.00","W ","2.23","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.50","  ","3.74","  ","2.78","  ","2.42","  ","2.40","  ","1.96","  ","2.15","  ","3.41","  ","0.00","W ","0.00","W ","9.99","  ","0.00","W ","6.04","  ","5.64","  ","3.70","  ","3.54","  ","0.00","W ","3.85","  ","4.33","  ","0.00","W ","5.25","  ","13.17","  ","21.46","  ","22.70","  ",
"South Carolina","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"South Dakota","2.61","  ","3.47","  ","5.53","  ","3.38","  ","3.39","  ","2.94","  ","2.87","  ","2.53","  ","2.10","  ","2.07","  ","1.82","  ","2.08","  ","2.57","  ","3.31","  ","2.25","  ","2.92","  ","2.90","  ","3.31","  ","4.23","  ","3.78","  ","3.53","  ","3.06","  ","3.46","  ","2.77","  ","3.05","  ","2.94","  ","4.98","  ","3.59","  ","3.41","  ","6.85","  ","5.00","  ","4.07","  ","3.41","  ","5.73","  ","3.89","  ","5.07","  ","9.39","  ","18.50","  ","8.59","  ",
"Tennessee","2.52","  ","2.82","  ","4.70","  ","3.15","  ","2.91","  ","2.69","  ","2.74","  ","2.37","  ","1.96","  ","1.96","  ","2.05","  ","2.33","  ","2.58","  ","2.74","  ","2.33","  ","2.31","  ","2.47","  ","2.61","  ","2.71","  ","2.74","  ","2.75","  ","2.28","  ","2.66","  ","3.35","  ","3.27","  ","3.59","  ","4.64","  ","4.36","  ","4.28","  ","4.08","  ","4.07","  ","3.94","  ","4.33","  ","4.74","  ","4.34","  ","4.98","  ","5.57","  ","5.93","  ","5.87","  ",
"Texas","2.62","  ","2.98","  ","4.70","  ","3.24","  ","3.13","  ","2.94","  ","2.95","  ","2.62","  ","2.17","  ","2.14","  ","1.91","  ","2.19","  ","2.53","  ","2.88","  ","2.23","  ","2.30","  ","2.66","  ","2.88","  ","3.01","  ","3.03","  ","2.98","  ","3.02","  ","2.82","  ","3.02","  ","3.09","  ","3.26","  ","4.62","  ","4.01","  ","4.21","  ","4.10","  ","4.19","  ","4.13","  ","4.41","  ","4.85","  ","4.79","  ","4.86","  ","5.24","  ","6.54","  ","4.82","  ",
"Utah","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","2.81","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.37","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","4.95","  ","0.00","W ","0.00","W ","0.00","W ",
"Vermont","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Virginia","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.55","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","2.82","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","6.12","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","4.88","  ","6.61","  ","8.02","  ","17.85","  ",
