"                   ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Oklahoma","-5705","  ","-12220","  ","-2082","  ","1055","  ","-3398","  ","-3069","  ","-15348","  ","-9402","  ","-5923","  ","10070","  ","26725","  ","-32397","  ","8250","  ","3951","  ","-13483","  ","-8189","  ","-6183","  ","-8740","  ","-17758","  ","-30908","  ","-22563","  ","1625","  ","31015","  ","30588","  ","-6811","  ","15204","  ","7444","  ","-24105","  ","-15412","  ","-10561","  ","-10836","  ","-16051","  ","-19840","  ","-10928","  ","14326","  ","29979","  ","33969","  ",
"Oregon","406","  ","-1086","  ","-266","  ","-16","  ","-887","  ","-511","  ","-1218","  ","-1027","  ","-362","  ","481","  ","1845","  ","474","  ","2338","  ","1139","  ","-1330","  ","-1482","  ","-685","  ","2","  ","-374","  ","-2416","  ","116","  ","-732","  ","688","  ","3212","  ","-3318","  ","1267","  ","1993","  ","-505","  ","-1425","  ","-1897","  ","-3056","  ","-4133","  ","-3018","  ","-36","  ","102","  ","2637","  ","4752","  ",
"Pennsylvania","10492","  ","-16859","  ","-43300","  ","-18752","  ","-21094","  ","-36463","  ","-32012","  ","-5601","  ","20011","  ","62426","  ","87473","  ","-41111","  ","11466","  ","-6135","  ","-31589","  ","-38785","  ","-35179","  ","-24593","  ","-51105","  ","-62659","  ","-27319","  ","48329","  ","92652","  ","83807","  ","-41556","  ","29332","  ","16036","  ","-39656","  ","-50233","  ","-44335","  ","-38363","  ","-55862","  ","-63219","  ","-26488","  ","46657","  ","88267","  ","96309","  ",
"Tennessee","-14","  ","-34","  ","2","  ","2","  ","3","  ","-38","  ","-27","  ","-17","  ","-32","  ","-6","  ","25","  ","-453","  ","-54","  ","-102","  ","-93","  ","-64","  ","-59","  ","-60","  ","-49","  ","-53","  ","-48","  ","-10","  ","96","  ","42","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"Texas","-17996","  ","-50646","  ","112","  ","21278","  ","18530","  ","7624","  ","-29546","  ","-38115","  ","-19445","  ","24128","  ","56721","  ","-91530","  ","6424","  ","-2086","  ","-41913","  ","-35276","  ","-6397","  ","-1462","  ","-23854","  ","-64583","  ","-68034","  ","4146","  ","75241","  ","66265","  ","-19539","  ","10548","  ","-17967","  ","-60721","  ","-44441","  ","-11235","  ","-22245","  ","-33940","  ","-44996","  ","-30409","  ","44718","  ","89138","  ","102009","  ",
"Utah","-466","  ","-1542","  ","-3455","  ","-2871","  ","-2671","  ","-4887","  ","-7374","  ","-814","  ","-1928","  ","3685","  ","8830","  ","-8073","  ","6185","  ","3131","  ","-1402","  ","-4323","  ","-3183","  ","-5792","  ","-5110","  ","-6367","  ","-512","  ","-197","  ","3249","  ","6246","  ","-1155","  ","7368","  ","4621","  ","-1973","  ","-5125","  ","-5742","  ","-7678","  ","-7760","  ","-8156","  ","224","  ","4590","  ","8588","  ","9887","  ",
"Virginia","-211","  ","-163","  ","-185","  ","-504","  ","73","  ","-46","  ","-242","  ","-508","  ","135","  ","17","  ","1612","  ","-468","  ","48","  ","-270","  ","-545","  ","-623","  ","-508","  ","-87","  ","-509","  ","-600","  ","793","  ","-1256","  ","1821","  ","1268","  ","6","  ","158","  ","176","  ","-638","  ","-848","  ","183","  ","-282","  ","167","  ","-573","  ","-449","  ","199","  ","-293","  ","2208","  ",
"Washington","448","  ","-109","  ","-3266","  ","-2091","  ","-788","  ","-1834","  ","-4392","  ","-2918","  ","1935","  ","5854","  ","1480","  ","4545","  ","2710","  ","3788","  ","-792","  ","-2976","  ","-4747","  ","278","  ","122","  ","-4285","  ","-1199","  ","2520","  ","4712","  ","4416","  ","-3458","  ","676","  ","1577","  ","-223","  ","-1524","  ","-4077","  ","-1529","  ","-3418","  ","-5031","  ","-2089","  ","2671","  ","5288","  ","4221","  ",
"West Virginia","10717","  ","-7057","  ","-15425","  ","-22388","  ","-29279","  ","-25941","  ","-27290","  ","-14238","  ","11571","  ","35666","  ","62059","  ","-28151","  ","23857","  ","2855","  ","-9191","  ","-22829","  ","-30326","  ","-28865","  ","-25786","  ","-33369","  ","-23204","  ","19424","  ","41243","  ","58043","  ","-765","  ","30123","  ","16358","  ","-17465","  ","-24144","  ","-25969","  ","-28904","  ","-27051","  ","-35829","  ","-8421","  ","22841","  ","38330","  ","59366","  ",
"Wyoming","-3105","  ","-3717","  ","-1656","  ","-769","  ","-1773","  ","-3980","  ","-3858","  ","-2386","  ","-139","  ","2448","  ","3031","  ","-1237","  ","1646","  ","-255","  ","-1419","  ","-1866","  ","-1115","  ","-1186","  ","-1715","  ","-1151","  ","308","  ","1217","  ","2397","  ","1901","  ","-569","  ","1586","  ","831","  ","-2049","  ","-2016","  ","-3075","  ","-2118","  ","-1709","  ","-953","  ","-575","  ","1635","  ","3435","  ","4440","  ",
"Regions",
"   East Region","41048","  ","-41275","  ","-93871","  ","-69715","  ","-80674","  ","-99152","  ","-93997","  ","-26243","  ","53638","  ","147136","  ","224148","  ","-119981","  ","57349","  ","4664","  ","-59024","  ","-93873","  ","-104740","  ","-90699","  ","-121926","  ","-143415","  ","-69546","  ","98805","  ","195328","  ","207094","  ","-52743","  ","89203","  ","61045","  ","-86683","  ","-116239","  ","-108445","  ","-106553","  ","-125529","  ","-136399","  ","-46858","  ","106232","  ","179804","  ","237678","  ",
"   South Central Region","-27350","  ","-150250","  ","-25428","  ","43079","  ","33529","  ","-212","  ","-78727","  ","-85201","  ","-55521","  ","73846","  ","207396","  ","-256060","  ","33813","  ","-11936","  ","-116399","  ","-110024","  ","-46205","  ","-47939","  ","-82015","  ","-173376","  ","-174950","  ","3421","  ","255529","  ","214020","  ","-61096","  ","40026","  ","6651","  ","-162037","  ","-124657","  ","-55342","  ","-91771","  ","-109928","  ","-133863","  ","-90131","  ","115000","  ","217408","  ","327547","  ",
"   Midwest Region","21111","  ","-91550","  ","-121381","  ","-86571","  ","-70923","  ","-92831","  ","-105382","  ","-22774","  ","65327","  ","156470","  ","224000","  ","-126362","  ","102665","  ","3543","  ","-123064","  ","-141069","  ","-139118","  ","-118838","  ","-127539","  ","-129116","  ","-56605","  ","93527","  ","272757","  ","236494","  ","-101059","  ","118280","  ","74778","  ","-111005","  ","-147193","  ","-163132","  ","-153935","  ","-154212","  ","-133848","  ","-41683","  ","102669","  ","212159","  ","296063","  ",
"   Mountain Region","-3096","  ","-16070","  ","-13629","  ","-11103","  ","-12418","  ","-20024","  ","-24696","  ","-7610","  ","-910","  ","12562","  ","29411","  ","-39121","  ","21235","  ","5213","  ","-11462","  ","-16112","  ","-15317","  ","-17214","  ","-19419","  ","-19103","  ","-2853","  ","34","  ","15081","  ","20797","  ","19202","  ","22941","  ","12630","  ","-12768","  ","-17611","  ","-17858","  ","-21457","  ","-22706","  ","-16967","  ","1434","  ","19358","  ","35320","  ","36887","  ",
"   Pacific Region","2790","  ","-9785","  ","-6916","  ","2142","  ","-906","  ","-10112","  ","-22310","  ","-21206","  ","-3232","  ","13538","  ","43542","  ","2322","  ","49135","  ","10625","  ","-20831","  ","-11035","  ","-3674","  ","-8243","  ","-10588","  ","-32152","  ","-17550","  ","-2557","  ","2649","  ","46544","  ","-52112","  ","16684","  ","6464","  ","-27912","  ","-15268","  ","-28027","  ","-25531","  ","-48717","  ","-56302","  ","-39504","  ","10393","  ","82912","  ","72695","  ",
"Total Lower 48 States","34503","  ","-308930","  ","-261226","  ","-122169","  ","-131391","  ","-222330","  ","-325112","  ","-163034","  ","59302","  ","403552","  ","728497","  ","-539203","  ","264197","  ","12109","  ","-330780","  ","-372112","  ","-309054","  ","-282933","  ","-361486","  ","-497162","  ","-321505","  ","193230","  ","741344","  ","724949","  ","-247806","  ","287134","  ","161568","  ","-400405","  ","-420968","  ","-372803","  ","-399247","  ","-461091","  ","-477379","  ","-216741","  ","353651","  ","727603","  ","970871","  ",
"U.S. Total","35375","  ","-308791","  ","-262547","  ","-124165","  ","-133368","  ","-223799","  ","-327069","  ","-164475","  ","58851","  ","403093","  ","728447","  ","-538421","  ","264337","  ","12306","  ","-330832","  ","-372021","  ","-309162","  ","-283104","  ","-361564","  ","-497234","  ","-321286","  ","193465","  ","741529","  ","725144","  ","-252958","  ","286401","  ","161011","  ","-400299","  ","-421532","  ","-373501","  ","-399503","  ","-462637","  ","-477641","  ","-217441","  ","353454","  ","728162","  ","970569","  ",
