"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","0.00","NA","14.68","  ","15.00","  ","25.30","  ","0.00","NA","25.99","  ","25.97","  ","24.64","  ","20.07","  ","16.27","  ","12.90","  ","10.90","  ","10.74","  ","14.62","  ","13.97","  ","14.73","  ","19.81","  ","24.96","  ","24.03","  ","24.71","  ","23.63","  ","19.84","  ","15.91","  ","12.21","  ","11.05","  ","11.66","  ","14.45","  ","12.72","  ","13.02","  ","22.12","  ","25.85","  ","26.14","  ","25.80","  ","23.93","  ","18.77","  ","15.67","  ","13.22","  ","12.21","  ","11.14","  ",
"Hawaii","36.50","  ","40.40","  ","48.64","  ","37.47","  ","35.35","  ","34.86","  ","34.76","  ","42.55","  ","39.90","  ","36.85","  ","36.99","  ","33.65","  ","33.36","  ","40.08","  ","38.28","  ","38.53","  ","37.46","  ","36.41","  ","37.50","  ","45.21","  ","48.71","  ","45.31","  ","40.85","  ","39.78","  ","38.87","  ","35.07","  ","47.51","  ","38.71","  ","44.85","  ","44.84","  ","49.55","  ","51.36","  ","49.29","  ","52.40","  ","50.96","  ","49.25","  ","49.21","  ","44.69","  ","45.67","  ",
"Idaho","8.57","  ","9.04","  ","8.59","  ","8.21","  ","9.46","  ","10.13","  ","9.85","  ","9.77","  ","9.18","  ","8.91","  ","8.76","  ","8.20","  ","7.97","  ","8.59","  ","7.87","  ","7.71","  ","8.90","  ","9.53","  ","10.93","  ","10.69","  ","10.08","  ","9.21","  ","8.86","  ","9.12","  ","8.79","  ","8.64","  ","8.54","  ","8.49","  ","8.40","  ","8.69","  ","9.28","  ","9.39","  ","9.11","  ","9.25","  ","8.95","  ","8.47","  ","8.68","  ","8.41","  ","8.24","  ",
"Illinois","8.10","  ","8.34","  ","10.12","  ","12.17","  ","16.73","  ","17.33","  ","16.50","  ","12.62","  ","10.49","  ","7.53","  ","7.08","  ","6.30","  ","5.84","  ","7.97","  ","6.30","  ","7.13","  ","9.70","  ","15.39","  ","16.41","  ","15.13","  ","13.63","  ","11.47","  ","8.42","  ","7.45","  ","6.46","  ","7.30","  ","9.59","  ","8.22","  ","7.76","  ","9.91","  ","14.35","  ","18.07","  ","17.93","  ","17.26","  ","14.33","  ","13.40","  ","10.96","  ","8.09","  ","7.34","  ",
"Indiana","0.00","NA","9.41","  ","9.48","  ","11.79","  ","17.47","  ","18.38","  ","18.70","  ","16.30","  ","9.95","  ","0.00","NA","7.97","  ","6.33","  ","5.95","  ","8.92","  ","6.93","  ","7.34","  ","9.29","  ","15.25","  ","17.74","  ","17.99","  ","17.88","  ","13.44","  ","10.66","  ","9.24","  ","7.55","  ","8.13","  ","9.02","  ","8.44","  ","7.09","  ","8.06","  ","13.75","  ","15.50","  ","17.38","  ","21.29","  ","15.51","  ","11.64","  ","9.11","  ","8.49","  ","7.63","  ",
"Iowa","0.00","NA","8.73","  ","10.49","  ","0.00","NA","16.31","  ","17.63","R","16.05","R","13.28","  ","8.74","R","0.00","NA","7.33","R","6.52","  ","6.52","  ","8.51","  ","7.31","  ","8.43","  ","13.18","  ","16.44","  ","17.39","  ","15.71","  ","13.02","  ","10.07","  ","8.50","  ","7.75","  ","7.14","  ","7.52","  ","10.02","  ","8.38","  ","8.83","  ","11.31","  ","16.00","  ","17.83","  ","17.04","  ","15.46","  ","12.19","  ","9.60","  ","10.98","  ","9.93","  ","8.54","  ",
"Kansas","10.25","  ","10.90","  ","10.87","  ","18.32","  ","19.93","R","21.71","R","20.10","R","18.90","R","13.40","R","11.06","R","9.41","R","7.89","  ","7.26","  ","10.17","  ","7.79","  ","7.97","  ","14.33","  ","19.63","  ","20.74","  ","19.33","  ","17.65","  ","14.49","  ","13.64","  ","9.74","  ","8.59","  ","9.20","  ","10.59","  ","9.04","  ","10.72","  ","16.88","  ","20.09","  ","21.20","  ","20.37","  ","18.22","  ","13.72","  ","11.40","  ","9.68","  ","9.40","  ","8.88","  ",
"Kentucky","10.35","  ","11.07","  ","10.83","  ","19.41","  ","22.87","  ","24.40","  ","23.01","  ","20.11","  ","14.80","  ","10.30","  ","8.73","  ","7.60","  ","7.83","  ","10.87","  ","9.35","  ","10.99","  ","16.11","  ","21.00","  ","22.21","  ","23.11","  ","21.52","  ","17.11","  ","12.94","  ","8.96","  ","8.92","  ","9.48","  ","10.62","  ","9.90","  ","10.16","  ","15.91","  ","22.23","  ","22.85","  ","23.34","  ","21.38","  ","16.14","  ","11.39","  ","9.22","  ","8.82","  ","8.80","  ",
"Louisiana","0.00","NA","10.77","  ","10.95","  ","0.00","NA","16.17","  ","16.97","  ","16.27","  ","14.16","  ","13.40","  ","11.33","  ","10.51","  ","8.70","  ","9.43","  ","10.91","  ","10.90","  ","13.82","  ","15.07","  ","15.86","  ","16.50","  ","15.46","  ","14.98","  ","13.55","  ","11.26","  ","8.83","  ","9.21","  ","9.34","  ","10.89","  ","10.16","  ","11.54","  ","15.82","  ","16.44","  ","16.12","  ","16.39","  ","15.54","  ","13.92","  ","11.57","  ","9.90","  ","9.38","  ","8.90","  ",
"Maine","0.00","NA","17.63","  ","16.71","  ","15.77","  ","0.00","NA","22.81","  ","21.90","  ","18.01","  ","13.48","  ","12.57","  ","12.99","  ","13.08","  ","13.12","  ","16.79","  ","13.17","  ","12.75","  ","15.03","  ","21.77","  ","22.85","  ","20.77","  ","17.13","  ","16.58","  ","17.33","  ","17.52","  ","17.45","  ","17.91","  ","16.90","  ","18.26","  ","16.31","  ","17.51","  ","22.80","  ","25.70","  ","23.11","  ","19.40","  ","16.53","  ","16.20","  ","16.41","  ","16.29","  ","14.92","  ",
"Maryland","11.71","  ","11.86","  ","12.46","  ","17.66","  ","20.58","  ","21.29","  ","20.13","  ","16.04","  ","12.63","  ","11.48","  ","11.02","  ","9.44","  ","9.93","  ","12.03","  ","13.09","  ","12.69","  ","13.48","  ","19.36","  ","19.04","  ","18.40","  ","18.32","  ","16.78","  ","11.48","  ","10.71","  ","10.10","  ","11.18","  ","12.21","  ","11.56","  ","11.04","  ","15.16","  ","17.84","  ","19.63","  ","19.72","  ","17.87","  ","15.05","  ","13.06","  ","11.97","  ","11.42","  ","10.39","  ",
"Massachusetts","12.37","  ","13.19","  ","14.44","  ","13.82","  ","15.10","  ","15.35","  ","14.55","  ","12.84","  ","12.46","  ","12.02","  ","11.70","  ","12.08","  ","11.99","  ","13.02","  ","12.69","  ","11.18","  ","10.75","  ","13.26","  ","13.82","  ","13.29","  ","12.18","  ","12.74","  ","12.71","  ","12.44","  ","13.59","  ","14.51","  ","14.50","  ","14.85","  ","14.47","  ","13.14","  ","15.40","  ","16.22","  ","16.11","  ","14.82","  ","14.69","  ","15.74","  ","14.98","  ","13.77","  ","13.39","  ",
"Michigan","8.36","  ","9.10","  ","9.46","  ","9.34","  ","12.76","  ","14.50","  ","13.25","  ","12.32","  ","9.28","  ","7.72","  ","7.69","  ","7.56","  ","7.29","  ","8.81","  ","7.57","  ","7.91","  ","8.96","  ","13.26","  ","13.57","  ","13.69","  ","12.54","  ","10.54","  ","8.89","  ","8.37","  ","8.39","  ","8.61","  ","9.33","  ","9.03","  ","8.89","  ","10.09","  ","12.54","  ","14.65","  ","14.08","  ","13.03","  ","11.14","  ","9.90","  ","9.15","  ","8.64","  ","8.17","  ",
"Minnesota","0.00","NA","9.26","  ","10.09","  ","9.51","  ","12.91","  ","13.38","  ","0.00","NA","12.19","  ","10.50","  ","7.58","  ","8.01","  ","6.92","  ","7.04","  ","8.79","  ","7.12","  ","7.67","  ","9.27","  ","12.68","  ","12.93","  ","13.22","  ","13.46","  ","10.59","  ","8.85","  ","9.45","  ","8.23","  ","8.56","  ","9.89","  ","9.66","  ","8.94","  ","10.09","  ","12.91","  ","13.55","  ","14.71","  ","14.80","  ","10.18","  ","10.17","  ","11.28","  ","9.55","  ","8.46","  ",
"Mississippi","0.00","NA","9.58","  ","9.56","  ","0.00","NA","15.44","  ","16.26","  ","15.93","  ","14.15","  ","13.16","  ","10.94","  ","9.17","  ","8.09","  ","8.57","  ","9.70","  ","9.70","  ","12.11","  ","13.94","  ","15.36","  ","15.79","  ","14.84","  ","14.40","  ","12.92","  ","10.53","  ","8.23","  ","8.25","  ","8.14","  ","9.51","  ","9.03","  ","9.74","  ","14.71","  ","15.48","  ","15.12","  ","15.31","  ","14.66","  ","12.33","  ","9.82","  ","8.91","  ","8.18","  ","8.00","  ",
"Missouri","11.06","  ","11.75","  ","10.76","  ","21.68","  ","23.99","  ","26.38","  ","24.82","  ","19.70","  ","15.58","  ","11.31","  ","9.30","  ","8.12","  ","7.98","  ","11.60","  ","9.51","  ","13.97","  ","20.52","  ","23.90","  ","25.52","  ","24.26","  ","20.79","  ","17.02","  ","12.66","  ","9.26","  ","9.63","  ","9.45","  ","10.83","  ","10.45","  ","12.23","  ","19.08","  ","24.84","  ","25.86","  ","25.05","  ","21.26","  ","15.34","  ","11.34","  ","8.97","  ","8.08","  ","8.36","  ",
"Montana","7.37","  ","8.69","  ","9.35","  ","7.91","  ","10.04","  ","11.09","  ","10.30","  ","8.34","  ","7.18","  ","6.75","  ","7.00","  ","6.88","  ","6.80","  ","8.26","  ","6.85","  ","7.39","  ","9.07","  ","11.11","  ","11.86","  ","11.75","  ","10.06","  ","8.48","  ","8.25","  ","8.06","  ","8.21","  ","8.39","  ","9.11","  ","8.26","  ","8.52","  ","10.08","  ","11.18","  ","13.58","  ","13.39","  ","12.45","  ","10.92","  ","9.79","  ","8.80","  ","8.29","  ","8.01","  ",
"Nebraska","8.04","  ","9.17","  ","8.87","  ","13.26","  ","15.67","R","16.07","R","14.98","R","12.33","R","9.22","R","7.60","R","6.99","R","6.49","  ","6.43","  ","8.86","  ","6.83","  ","9.43","  ","13.81","  ","15.57","  ","15.66","  ","14.76","  ","12.18","  ","10.32","  ","9.15","  ","7.91","  ","7.89","  ","8.31","  ","8.77","  ","8.13","  ","9.09","  ","12.44","  ","14.79","  ","15.78","  ","15.57","  ","13.50","  ","10.64","  ","9.01","  ","8.39","  ","7.77","  ","7.08","  ",
"Nevada","0.00","NA","12.71","  ","11.49","  ","0.00","NA","13.81","  ","14.42","  ","14.63","  ","12.99","  ","11.92","  ","11.25","  ","10.84","  ","9.75","  ","9.12","  ","11.82","  ","8.96","  ","10.80","  ","14.95","  ","16.14","  ","16.41","  ","16.72","  ","15.51","  ","14.34","  ","13.30","  ","11.84","  ","11.40","  ","10.42","  ","11.44","  ","10.61","  ","12.44","  ","15.50","  ","15.98","  ","16.75","  ","16.16","  ","14.24","  ","12.95","  ","11.47","  ","10.47","  ","9.57","  ","9.13","  ",
"New Hampshire","14.20","  ","16.44","  ","16.24","  ","19.46","  ","24.66","  ","24.61","  ","23.02","  ","18.19","  ","13.97","  ","12.22","  ","11.76","  ","12.70","  ","14.05","  ","16.18","  ","15.06","  ","14.11","  ","17.88","  ","22.91","  ","22.68","  ","19.23","  ","16.48","  ","15.12","  ","15.10","  ","15.33","  ","16.20","  ","17.43","  ","16.27","  ","16.98","  ","15.25","  ","16.57","  ","20.74","  ","21.71","  ","20.34","  ","17.02","  ","17.27","  ","16.95","  ","16.11","  ","15.59","  ","14.41","  ",
"New Jersey","8.19","  ","8.32","  ","10.04","  ","10.38","  ","11.90","  ","12.27","  ","11.49","  ","10.78","  ","9.49","  ","8.99","  ","8.24","  ","6.86","  ","6.55","  ","8.32","  ","7.80","  ","9.03","  ","10.24","  ","12.30","  ","12.42","  ","11.96","  ","11.35","  ","9.56","  ","7.33","  ","7.49","  ","7.82","  ","7.81","  ","9.69","  ","8.03","  ","9.26","  ","11.50","  ","12.90","  ","13.05","  ","12.77","  ","12.23","  ","11.06","  ","9.43","  ","9.11","  ","9.74","  ","9.70","  ",
"New Mexico","7.99","  ","9.04","  ","10.39","  ","12.57","  ","14.34","  ","15.18","  ","13.85","  ","11.38","  ","8.73","  ","7.48","  ","7.06","  ","6.44","  ","6.35","  ","8.63","  ","6.76","  ","8.27","  ","13.08","  ","14.85","  ","14.92","  ","14.55","  ","11.79","  ","9.92","  ","8.92","  ","7.56","  ","7.37","  ","8.05","  ","10.13","  ","8.73","  ","10.12","  ","14.07","  ","15.57","  ","16.29","  ","16.24","  ","14.45","  ","11.77","  ","10.75","  ","10.24","  ","8.75","  ","8.07","  ",
"New York","11.02","  ","11.10","  ","12.85","  ","14.83","  ","17.32","  ","17.86","  ","16.65","  ","14.69","  ","10.98","  ","9.87","  ","9.63","  ","9.43","  ","10.28","  ","11.20","  ","11.43","  ","12.26","  ","14.24","  ","17.50","  ","17.30","  ","17.09","  ","16.26","  ","12.68","  ","10.19","  ","9.34","  ","9.79","  ","10.51","  ","12.54","  ","10.66","  ","12.27","  ","15.99","  ","17.86","  ","18.88","  ","18.99","  ","17.99","  ","14.55","  ","12.49","  ","11.78","  ","11.32","  ","11.18","  ",
"North Carolina","0.00","NA","11.33","  ","12.19","  ","18.56","  ","0.00","NA","0.00","NA","22.54","  ","19.64","  ","16.44","  ","13.13","  ","12.63","  ","9.07","  ","8.77","  ","11.57","  ","12.87","  ","12.15","  ","14.61","  ","21.77","  ","21.94","  ","21.14","  ","20.97","  ","17.62","  ","14.25","  ","10.08","  ","8.93","  ","10.05","  ","11.88","  ","11.30","  ","10.89","  ","15.88","  ","20.77","  ","23.23","  ","21.55","  ","24.63","  ","21.09","  ","13.64","  ","10.23","  ","11.38","  ","10.46","  ",
"North Dakota","7.70","  ","8.93","  ","9.22","  ","8.50","  ","16.30","  ","20.07","  ","20.52","  ","19.22","  ","9.53","  ","6.91","  ","6.31","  ","5.61","  ","5.50","  ","8.15","  ","5.60","  ","6.56","  ","9.57","  ","16.93","  ","19.37","  ","21.03","  ","17.34","  ","10.19","  ","8.59","  ","7.52","  ","7.02","  ","7.85","  ","8.86","  ","7.96","  ","7.85","  ","10.39","  ","14.22","  ","17.00","  ","20.13","  ","16.60","  ","10.73","  ","9.55","  ","8.94","  ","7.69","  ","7.02","  ",
"Ohio","9.30","  ","9.77","  ","10.39","  ","18.80","  ","26.09","  ","27.29","  ","25.47","  ","19.24","  ","11.70","  ","8.02","  ","7.14","  ","6.43","  ","6.46","  ","9.51","  ","7.40","  ","9.68","  ","15.37","  ","24.33","  ","25.48","  ","23.85","  ","19.97","  ","13.50","  ","9.15","  ","7.76","  ","7.54","  ","7.91","  ","10.16","  ","8.91","  ","10.06","  ","15.52","  ","23.30","  ","25.28","  ","24.66","  ","20.55","  ","13.55","  ","9.94","  ","8.84","  ","8.42","  ","7.96","  ",
"Oklahoma","10.63","  ","10.48","  ","10.25","  ","24.83","  ","26.11","  ","29.01","  ","24.73","  ","19.82","  ","16.74","  ","10.97","  ","8.93","  ","6.82","  ","6.54","  ","10.24","  ","7.34","  ","14.37","  ","23.34","  ","25.17","  ","26.60","  ","23.07","  ","19.17","  ","15.76","  ","12.21","  ","7.52","  ","8.07","  ","7.83","  ","10.10","  ","8.16","  ","12.88","  ","23.92","  ","26.45","  ","26.54","  ","24.26","  ","21.32","  ","16.16","  ","11.60","  ","8.30","  ","7.52","  ","6.99","  ",
"Oregon","0.00","NA","12.82","  ","11.77","  ","11.60","  ","14.16","  ","16.28","  ","0.00","NA","15.63","  ","15.03","  ","13.59","  ","11.93","  ","11.91","  ","10.43","  ","12.43","  ","10.84","  ","12.69","  ","13.54","  ","14.45","  ","17.09","  ","16.20","  ","15.54","  ","14.00","  ","11.78","  ","13.23","  ","12.37","  ","11.18","  ","11.72","  ","11.94","  ","11.19","  ","13.36","  ","15.53","  ","16.90","  ","14.58","  ","14.30","  ","13.75","  ","11.97","  ","11.59","  ","10.12","  ","10.66","  ",
"Pennsylvania","10.28","  ","11.23","  ","11.96","  ","13.51","  ","18.78","  ","19.38","  ","18.24","  ","15.54","  ","11.32","  ","9.86","  ","9.46","  ","8.60","  ","8.70","  ","11.04","  ","9.82","  ","10.53","  ","12.23","  ","18.26","  ","18.56","  ","17.76","  ","15.77","  ","13.63","  ","10.81","  ","10.03","  ","10.31","  ","10.53","  ","11.77","  ","10.85","  ","11.54","  ","14.89","  ","18.78","  ","20.46","  ","20.23","  ","18.55","  ","13.93","  ","11.94","  ","11.09","  ","10.54","  ","10.49","  ",
"Rhode Island","13.88","  ","14.25","  ","15.22","  ","17.92","  ","20.26","  ","20.37","  ","19.20","  ","16.89","  ","14.49","  ","13.42","  ","12.64","  ","12.35","  ","12.73","  ","14.24","  ","13.49","  ","15.48","  ","19.04","  ","21.00","  ","20.94","  ","19.74","  ","17.85","  ","15.79","  ","13.88","  ","13.07","  ","12.93","  ","13.23","  ","15.14","  ","13.71","  ","16.98","  ","21.73","  ","23.13","  ","23.43","  ","22.85","  ","20.80","  ","18.06","  ","14.92","  ","13.44","  ","13.38","  ","13.24","  ",
"South Carolina","12.83","  ","12.04","  ","13.17","  ","22.25","  ","25.36","  ","25.66","  ","26.97","  ","24.19","  ","18.70","  ","15.24","  ","13.53","  ","9.79","  ","9.07","  ","12.65","  ","15.36","  ","14.91","  ","16.37","  ","23.95","  ","22.77","  ","24.65","  ","24.58","  ","21.23","  ","16.92","  ","10.67","  ","8.83","  ","10.20","  ","12.65","  ","11.69","  ","10.66","  ","18.88","  ","25.28","  ","24.75","  ","27.01","  ","25.42","  ","20.86","  ","14.68","  ","11.26","  ","12.26","  ","10.20","  ",
"South Dakota","7.65","  ","8.69","  ","9.68","  ","10.49","  ","13.40","  ","14.20","  ","13.53","  ","11.38","  ","7.76","  ","6.89","  ","7.16","  ","6.61","  ","6.31","  ","8.30","  ","6.63","  ","8.04","  ","10.43","  ","14.36","  ","14.99","  ","14.53","  ","12.35","  ","9.18","  ","8.46","  ","8.04","  ","7.58","  ","7.71","  ","9.27","  ","7.79","  ","8.46","  ","10.75","  ","13.36","  ","15.55","  ","15.31","  ","13.07","  ","10.31","  ","9.20","  ","10.01","  ","9.17","  ","8.00","  ",
"Tennessee","0.00","NA","9.54","  ","10.31","  ","0.00","NA","17.53","  ","18.91","  ","17.06","  ","14.76","  ","12.45","  ","9.50","  ","7.86","  ","7.25","  ","7.38","  ","9.62","  ","9.22","  ","11.74","  ","14.40","  ","17.34","  ","19.64","  ","17.59","  ","16.13","  ","14.17","  ","10.41","  ","7.57","  ","8.47","  ","8.72","  ","10.13","  ","9.20","  ","10.11","  ","16.12","  ","18.54","  ","18.12","  ","18.86","  ","17.54","  ","14.18","  ","11.57","  ","9.65","  ","9.10","  ","8.34","  ",
"Texas","0.00","NA","10.57","  ","11.22","  ","20.14","  ","21.01","  ","22.75","  ","19.33","  ","0.00","NA","16.33","  ","11.63","  ","10.02","  ","7.79","  ","7.77","  ","10.62","  ","9.31","  ","15.49","  ","19.18","  ","20.90","  ","21.08","  ","18.26","  ","16.56","  ","15.76","  ","11.59","  ","7.93","  ","7.94","  ","8.63","  ","11.16","  ","10.06","  ","12.69","  ","19.55","  ","20.30","  ","21.03","  ","20.22","  ","18.67","  ","16.16","  ","12.53","  ","10.08","  ","8.56","  ","8.24","  ",
"Utah","9.09","  ","9.99","  ","9.39","  ","9.23","  ","10.12","  ","10.75","  ","10.67","  ","9.81","  ","8.89","  ","8.96","  ","9.50","  ","8.79","  ","8.58","  ","9.72","  ","8.75","  ","9.22","  ","10.85","  ","10.89","  ","10.84","  ","10.69","  ","9.90","  ","9.54","  ","9.98","  ","9.99","  ","10.40","  ","9.44","  ","9.48","  ","9.89","  ","9.76","  ","11.08","  ","11.66","  ","11.85","  ","11.18","  ","10.36","  ","8.53","  ","9.17","  ","9.99","  ","8.97","  ","8.55","  ",
"Vermont","14.30","  ","14.61","  ","14.71","  ","18.75","  ","22.57","  ","23.02","  ","21.11","  ","18.40","  ","14.26","  ","13.30","  ","12.66","  ","12.53","  ","13.24","  ","14.56","  ","13.84","  ","14.89","  ","18.41","  ","23.16","  ","23.04","  ","21.69","  ","19.41","  ","15.81","  ","13.73","  ","13.09","  ","13.00","  ","13.79","  ","14.68","  ","14.08","  ","15.46","  ","19.48","  ","22.49","  ","23.63","  ","22.45","  ","20.12","  ","15.77","  ","13.58","  ","13.59","  ","12.95","  ","13.27","  ",
