"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," ","September 2015"," ","September 2015"," ","September 2015"," ","August 2015"," ","August 2015"," ","August 2015"," ","July 2015"," ","July 2015"," ","July 2015"," ","June 2015"," ","June 2015"," ","June 2015"," ","May 2015"," ","May 2015"," ","May 2015"," ","April 2015"," ","April 2015"," ","April 2015"," ","March 2015"," ","March 2015"," ","March 2015"," ","February 2015"," ","February 2015"," ","February 2015"," ","January 2015"," ","January 2015"," ","January 2015"," "
"Georgia","100.0","  ","100.0","  ","20.6","  ","100.0","  ","100.0","  ","21.5","  ","100.0","  ","100.0","  ","21.0","  ","100.0","  ","100.0","  ","21.7","  ","100.0","  ","100.0","  ","19.4","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","20.4","  ","100.0","  ","100.0","  ","20.3","  ","100.0","  ","100.0","  ","20.8","  ","100.0","  ","100.0","  ","20.2","  ","100.0","  ","100.0","  ","21.2","  ","100.0","  ","100.0","  ","20.0","  ","100.0","  ","100.0","  ","19.3","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","21.6","  ","100.0","  ","100.0","  ","20.3","  ","100.0","  ","100.0","  ","22.0","  ","100.0","  ","100.0","  ","20.9","  ",
"Hawaii","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ",
"Idaho","100.0","  ","82.0","  ","2.3","  ","100.0","  ","81.6","  ","3.0","  ","100.0","  ","83.2","  ","2.8","  ","100.0","  ","80.3","  ","2.3","  ","100.0","  ","83.3","  ","2.4","  ","100.0","  ","74.6","  ","2.4","  ","100.0","  ","83.5","  ","2.4","  ","100.0","  ","79.0","  ","2.1","  ","100.0","  ","67.0","  ","2.1","  ","100.0","  ","64.4","  ","1.9","  ","100.0","  ","58.6","  ","2.0","  ","100.0","  ","52.9","  ","2.2","  ","100.0","  ","58.2","  ","2.1","  ","100.0","  ","62.7","  ","2.3","  ","100.0","  ","73.0","  ","2.8","  ","100.0","  ","76.2","  ","2.8","  ","100.0","  ","79.8","  ","2.7","  ","100.0","  ","82.7","  ","3.2","  ",
"Illinois","87.1","  ","40.6","  ","9.2","  ","87.2","  ","42.9","  ","10.0","  ","88.2","  ","44.7","  ","11.2","  ","86.5","  ","39.9","  ","8.6","  ","87.5","  ","41.2","  ","9.8","  ","86.3","  ","0.0","NA","5.7","  ","86.8","  ","37.1","  ","7.2","  ","88.2","  ","0.0","NA","5.5","  ","87.1","  ","30.4","  ","3.8","  ","86.3","  ","22.8","  ","2.8","  ","85.3","  ","21.9","  ","2.8","  ","85.2","  ","25.2","  ","2.1","  ","83.4","  ","24.4","  ","2.9","  ","83.0","  ","25.8","  ","3.4","  ","83.4","  ","33.1","  ","4.7","  ","84.6","  ","39.0","  ","7.9","  ","87.3","  ","43.1","  ","10.2","  ","87.1","  ","42.7","  ","9.7","  ",
"Indiana","96.0","  ","70.8","  ","2.9","  ","95.9","  ","72.2","  ","3.2","  ","95.1","  ","70.2","  ","3.3","  ","95.9","  ","70.1","  ","2.7","  ","96.1","  ","71.5","  ","3.1","  ","0.0","NA","67.0","  ","1.9","  ","96.0","  ","67.8","  ","2.0","  ","95.9","  ","65.5","  ","1.7","  ","95.4","  ","64.0","  ","1.4","  ","95.9","  ","57.5","  ","1.1","  ","95.5","  ","53.9","  ","1.1","  ","95.1","  ","56.8","  ","1.3","  ","0.0","NA","55.3","  ","2.0","  ","95.6","  ","55.7","  ","0.9","  ","95.3","  ","62.4","  ","1.6","  ","95.9","  ","69.4","  ","2.7","  ","96.0","  ","73.0","  ","3.7","  ","95.7","  ","71.4","  ","2.7","  ",
"Iowa","100.0","  ","75.8","  ","0.0","NA","100.0","  ","76.4","  ","5.5","  ","100.0","  ","77.5","  ","5.4","  ","100.0","  ","74.8","  ","0.0","NA","100.0","  ","76.7","  ","4.8","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","75.2","  ","4.2","  ","100.0","  ","0.0","NA","6.3","  ","100.0","  ","70.3","  ","5.2","  ","100.0","  ","59.3","  ","0.0","NA","100.0","  ","55.5","  ","1.9","  ","100.0","  ","59.1","  ","2.4","  ","100.0","  ","57.8","  ","2.1","  ","100.0","  ","61.8","  ","2.8","  ","100.0","  ","66.0","  ","0.0","NA","100.0","  ","73.7","  ","3.6","  ","100.0","  ","76.5","  ","6.3","  ","100.0","  ","76.3","  ","4.8","  ",
"Kansas","100.0","  ","67.8","  ","0.9","  ","100.0","  ","69.6","  ","2.0","  ","100.0","  ","70.4","  ","1.2","  ","100.0","  ","68.2","  ","1.2","  ","100.0","  ","67.5","  ","0.7","  ","0.0","NA","0.0","NA","0.0","NA","100.0","  ","59.0","  ","1.0","  ","0.0","NA","53.1","  ","2.3","  ","100.0","  ","40.1","  ","4.8","  ","100.0","  ","35.8","  ","15.3","  ","100.0","  ","0.0","NA","19.2","  ","100.0","  ","31.1","  ","18.2","  ","100.0","  ","42.4","  ","8.3","  ","100.0","  ","38.3","  ","0.0","NA","100.0","  ","57.7","  ","0.0","NA","100.0","  ","67.7","  ","0.0","NA","100.0","  ","67.8","  ","2.3","  ","100.0","  ","71.1","  ","1.7","  ",
"Kentucky","96.8","  ","83.3","  ","17.3","  ","96.5","  ","84.3","  ","16.6","  ","96.2","  ","84.9","  ","17.2","  ","96.4","  ","83.4","  ","18.2","  ","97.2","  ","83.2","  ","16.6","  ","96.3","  ","79.2","  ","16.0","  ","96.7","  ","80.6","  ","16.4","  ","97.4","  ","76.0","  ","16.3","  ","97.6","  ","72.3","  ","15.5","  ","97.2","  ","68.0","  ","14.5","  ","97.6","  ","67.6","  ","16.1","  ","96.9","  ","66.4","  ","15.9","  ","96.6","  ","67.6","  ","16.0","  ","95.0","  ","68.2","  ","16.0","  ","94.8","  ","75.6","  ","15.3","  ","95.3","  ","83.4","  ","16.5","  ","96.5","  ","84.5","  ","16.7","  ","96.6","  ","84.1","  ","16.5","  ",
"Louisiana","100.0","  ","80.0","  ","11.6","  ","100.0","  ","82.2","  ","10.9","  ","100.0","  ","83.3","  ","13.2","  ","100.0","  ","81.3","  ","11.6","  ","100.0","  ","78.7","  ","11.5","  ","100.0","  ","79.1","  ","11.6","  ","100.0","  ","76.4","  ","12.1","  ","100.0","  ","73.3","  ","12.1","  ","100.0","  ","74.9","  ","11.7","  ","100.0","  ","74.3","  ","10.8","  ","100.0","  ","77.0","  ","11.1","  ","100.0","  ","81.2","  ","11.3","  ","100.0","  ","82.1","  ","11.2","  ","100.0","  ","75.5","  ","11.7","  ","100.0","  ","79.4","  ","12.5","  ","100.0","  ","82.9","  ","12.3","  ","100.0","  ","82.5","  ","10.6","  ","100.0","  ","81.9","  ","11.3","  ",
"Maine","100.0","  ","60.7","  ","0.0","NA","100.0","  ","57.7","  ","0.0","NA","100.0","  ","52.4","  ","2.1","  ","100.0","  ","61.4","  ","0.0","NA","100.0","  ","60.1","  ","0.0","NA","100.0","  ","51.5","  ","0.0","NA","100.0","  ","57.2","  ","0.0","NA","100.0","  ","53.1","  ","0.0","NA","100.0","  ","47.7","  ","0.0","NA","100.0","  ","28.5","  ","0.0","NA","100.0","  ","27.5","  ","0.0","NA","100.0","  ","30.5","  ","0.0","NA","100.0","  ","37.6","  ","0.0","NA","100.0","  ","52.0","  ","0.0","NA","100.0","  ","53.4","  ","0.0","NA","100.0","  ","56.3","  ","0.0","NA","100.0","  ","59.3","  ","0.0","NA","100.0","  ","55.8","  ","0.0","NA",
"Maryland","74.7","  ","0.0","NA","12.8","  ","73.9","  ","32.5","  ","15.7","  ","73.3","  ","31.9","  ","14.1","  ","74.4","  ","30.6","  ","12.1","  ","75.0","  ","0.0","NA","13.5","  ","73.1","  ","27.4","  ","0.0","NA","73.0","  ","24.9","  ","8.2","  ","74.6","  ","28.4","  ","5.3","  ","73.4","  ","23.2","  ","3.3","  ","71.7","  ","18.5","  ","4.5","  ","71.7","  ","17.1","  ","0.8","  ","70.8","  ","21.5","  ","0.0","NA","70.3","  ","19.4","  ","1.6","  ","70.3","  ","21.2","  ","1.8","  ","75.2","  ","24.6","  ","8.0","  ","71.2","  ","32.7","  ","15.6","  ","73.8","  ","32.4","  ","17.3","  ","74.0","  ","32.7","  ","14.3","  ",
"Massachusetts","99.1","  ","48.8","  ","25.6","  ","99.5","  ","53.2","  ","31.6","  ","99.5","  ","47.2","  ","24.0","  ","99.1","  ","49.5","  ","27.6","  ","99.2","  ","48.1","  ","23.7","  ","0.0","NA","0.0","NA","26.3","  ","99.2","  ","44.4","  ","24.6","  ","99.3","  ","37.9","  ","19.9","  ","0.0","NA","0.0","NA","18.2","  ","99.2","  ","26.4","  ","19.3","  ","99.3","  ","26.7","  ","21.3","  ","99.3","  ","28.3","  ","21.1","  ","99.3","  ","34.2","  ","24.2","  ","99.3","  ","36.7","  ","23.5","  ","99.4","  ","46.4","  ","30.2","  ","99.5","  ","56.0","  ","31.4","  ","99.5","  ","52.4","  ","32.3","  ","99.5","  ","54.2","  ","30.9","  ",
"Michigan","92.8","  ","60.1","  ","9.4","  ","92.9","  ","61.9","  ","11.4","  ","91.8","  ","59.1","  ","11.3","  ","92.7","  ","59.4","  ","9.5","  ","92.9","  ","60.7","  ","9.4","  ","92.7","  ","55.4","  ","0.0","NA","93.0","  ","56.5","  ","8.3","  ","92.9","  ","54.3","  ","5.9","  ","92.8","  ","48.5","  ","3.3","  ","92.1","  ","36.5","  ","2.3","  ","92.6","  ","37.6","  ","2.4","  ","92.4","  ","36.6","  ","2.5","  ","93.0","  ","40.8","  ","2.5","  ","92.3","  ","49.3","  ","0.0","NA","91.9","  ","52.9","  ","6.5","  ","92.4","  ","59.9","  ","11.2","  ","93.1","  ","63.5","  ","12.5","  ","92.7","  ","60.3","  ","10.4","  ",
"Minnesota","100.0","  ","86.2","  ","0.0","NA","100.0","  ","88.3","  ","17.2","  ","100.0","  ","94.4","  ","25.6","  ","100.0","  ","84.1","  ","0.0","NA","100.0","  ","88.1","R","0.0","NA","100.0","  ","84.3","  ","0.0","NA","100.0","  ","89.0","  ","0.0","NA","100.0","  ","82.4","  ","17.6","  ","100.0","  ","82.7","  ","14.6","  ","100.0","  ","74.2","  ","12.7","  ","100.0","  ","74.7","  ","12.6","  ","100.0","  ","71.0","  ","11.4","  ","100.0","  ","70.9","  ","14.0","  ","100.0","  ","79.6","  ","12.8","  ","100.0","  ","81.2","  ","14.8","  ","100.0","  ","83.7","  ","0.0","NA","100.0","  ","86.2","  ","18.1","  ","100.0","  ","90.5","  ","16.3","  ",
"Mississippi","100.0","  ","88.3","  ","9.8","  ","99.7","  ","89.8","  ","9.0","  ","100.0","  ","91.3","  ","11.6","  ","100.0","  ","88.1","  ","11.3","  ","100.0","  ","88.5","  ","8.4","  ","0.0","NA","0.0","NA","9.0","  ","100.0","  ","86.1","  ","8.4","  ","0.0","NA","0.0","NA","8.5","  ","100.0","  ","82.3","  ","8.8","  ","100.0","  ","0.0","NA","9.6","  ","100.0","  ","82.0","  ","9.3","  ","99.3","  ","81.0","  ","8.7","  ","99.4","  ","80.3","  ","8.7","  ","99.4","  ","81.6","  ","9.5","  ","99.6","  ","83.4","  ","9.8","  ","99.7","  ","89.5","  ","9.5","  ","100.0","  ","89.4","  ","9.3","  ","99.5","  ","90.1","  ","8.7","  ",
"Missouri","100.0","  ","77.6","  ","0.0","NA","100.0","  ","76.7","  ","18.5","  ","100.0","  ","74.3","  ","19.9","  ","100.0","  ","76.4","  ","0.0","NA","100.0","  ","78.9","  ","0.0","NA","100.0","  ","71.1","  ","12.3","  ","100.0","  ","72.9","  ","12.2","  ","100.0","  ","65.4","  ","9.5","  ","100.0","  ","58.8","  ","9.0","  ","100.0","  ","58.5","  ","8.1","  ","100.0","  ","57.3","  ","8.5","  ","100.0","  ","58.6","  ","7.5","  ","100.0","  ","62.2","  ","8.7","  ","100.0","  ","60.3","  ","9.4","  ","100.0","  ","69.0","  ","12.9","  ","100.0","  ","78.0","  ","16.8","  ","100.0","  ","76.6","  ","18.5","  ","100.0","  ","76.8","  ","18.6","  ",
"Montana","99.7","  ","54.2","  ","1.9","  ","99.7","  ","55.1","  ","1.7","  ","99.9","  ","55.8","  ","3.0","  ","99.7","  ","52.1","  ","1.9","  ","99.7","  ","55.8","  ","1.9","  ","99.8","  ","0.0","NA","0.0","NA","99.8","  ","53.6","  ","1.5","  ","99.8","  ","46.8","  ","1.6","  ","99.8","  ","43.1","  ","1.5","  ","99.8","  ","43.9","  ","0.8","  ","99.8","  ","49.3","  ","0.0","NA","99.8","  ","47.8","  ","1.1","  ","99.8","  ","52.7","  ","1.9","  ","99.8","  ","53.2","  ","1.0","  ","99.8","  ","0.0","NA","1.4","  ","99.7","  ","53.2","  ","1.5","  ","99.7","  ","53.4","  ","1.9","  ","99.7","  ","56.4","  ","1.6","  ",
"Nebraska","88.0","  ","61.1","  ","8.7","  ","87.4","  ","60.2","  ","9.6","  ","88.3","  ","60.5","  ","10.4","  ","89.6","  ","61.5","  ","8.5","  ","86.5","  ","60.8","  ","8.8","  ","87.2","  ","56.1","  ","7.1","  ","86.9","  ","58.3","  ","6.7","  ","83.8","  ","48.8","  ","6.4","  ","87.2","  ","52.4","  ","6.1","  ","88.9","  ","43.4","  ","6.4","  ","88.2","  ","44.6","  ","5.6","  ","88.9","  ","47.5","  ","5.5","  ","86.5","  ","48.7","  ","5.9","  ","84.3","  ","49.3","  ","6.2","  ","86.7","  ","56.2","  ","7.9","  ","88.8","  ","62.5","  ","8.9","  ","88.9","  ","61.0","  ","9.8","  ","86.1","  ","59.5","  ","9.5","  ",
"Nevada","100.0","  ","68.6","  ","22.3","  ","100.0","  ","67.7","  ","20.3","  ","100.0","  ","69.1","  ","20.6","  ","100.0","  ","67.6","  ","20.6","  ","100.0","  ","69.4","  ","23.8","  ","100.0","  ","57.9","  ","0.0","NA","100.0","  ","65.8","  ","17.8","  ","100.0","  ","58.7","  ","0.0","NA","100.0","  ","47.0","  ","10.7","  ","100.0","  ","47.9","  ","0.0","NA","100.0","  ","46.6","  ","0.0","NA","100.0","  ","48.1","  ","10.6","  ","100.0","  ","51.0","  ","0.0","NA","100.0","  ","50.1","  ","0.0","NA","100.0","  ","55.6","  ","0.0","NA","100.0","  ","60.7","  ","0.0","NA","100.0","  ","66.3","  ","17.0","  ","100.0","  ","68.9","  ","23.0","  ",
"New Hampshire","100.0","  ","57.4","  ","0.0","NA","100.0","  ","61.8","  ","22.8","  ","100.0","  ","59.3","  ","9.7","  ","100.0","  ","57.3","  ","0.0","NA","100.0","  ","57.4","  ","15.5","  ","100.0","  ","58.4","  ","0.0","NA","100.0","  ","55.4","  ","0.0","NA","100.0","  ","53.1","  ","0.0","NA","100.0","  ","48.8","  ","0.0","NA","100.0","  ","49.4","  ","0.0","NA","100.0","  ","52.6","  ","0.0","NA","100.0","  ","53.2","  ","0.0","NA","100.0","  ","49.2","  ","0.0","NA","100.0","  ","55.3","  ","0.0","NA","100.0","  ","59.7","  ","0.0","NA","100.0","  ","61.5","  ","0.0","NA","100.0","  ","62.1","  ","23.9","  ","100.0","  ","61.5","  ","21.6","  ",
"New Jersey","94.2","  ","46.9","  ","11.1","  ","92.9","  ","50.1","  ","12.6","  ","89.6","  ","41.0","  ","12.2","  ","94.2","  ","46.4","  ","12.8","  ","94.2","  ","47.4","  ","9.4","  ","93.4","  ","0.0","NA","0.0","NA","94.3","  ","42.0","  ","7.6","  ","94.0","  ","37.2","  ","4.6","  ","94.0","  ","0.0","NA","2.9","  ","93.8","  ","0.0","NA","2.4","  ","93.6","  ","17.1","  ","2.3","  ","93.8","  ","23.0","  ","3.1","  ","94.2","  ","27.9","  ","2.9","  ","93.6","  ","0.0","NA","0.0","NA","93.6","  ","39.2","  ","9.5","  ","93.3","  ","53.8","  ","14.0","  ","93.0","  ","53.3","  ","14.3","  ","92.9","  ","46.7","  ","11.2","  ",
