"STUB_1","1","2","3","4","5","U.S. Total"
"15 ppm sulfur and Under","53,173","31,858","32,032","3,473","10,567","131,103"
"Refinery","1,864","6,461","11,763","1,349","3,836","25,273"
"Bulk Terminal","43,139","18,338","11,406","1,250","5,525","79,658"
"Pipeline","8,170","7,059","8,863","874","1,206","26,172"
"Greater than 15 ppm to 500 ppm sulfur","7,350","289","1,169","159","218","9,185"
"Refinery","188","123","567","112","215","1,205"
"Bulk Terminal","7,028","66","453","45","3","7,595"
"Pipeline","134","100","149","2","–","385"
"Greater than 500 ppm sulfur","6,780","738","5,057","44","977","13,596"
"Refinery","697","714","2,165","44","762","4,382"
"Bulk Terminal","5,086","8","2,062","–","179","7,335"
"Pipeline","997","16","830","–","36","1,879"
"Residual Fuel Oil","10,739","1,295","22,541","199","4,513","39,287"
"Refinery","681","1,062","3,947","199","2,547","8,436"
"Bulk Terminal","10,058","233","18,594","–","1,960","30,845"
"Pipeline","–","–","–","–","6","6"
"Less than 0.31% Sulfur","952","28","1,800","17","241","3,038"
"Refinery","53","22","208","17","–","300"
"Bulk Terminal","899","6","1,592","–","241","2,738"
"0.31% to 1.00% Sulfur","2,468","192","5,543","7","498","8,708"
"Refinery","60","98","298","7","242","705"
"Bulk Terminal","2,408","94","5,245","–","256","8,003"
"Greater than 1.00% Percent Sulfur","7,319","1,075","15,198","175","3,768","27,535"
"Refinery","568","942","3,441","175","2,305","7,431"
"Bulk Terminal","6,751","133","11,757","–","1,463","20,104"
"Petrochemical Feedstocks","171","636","2,342","–","5","3,154"
"Refinery","171","636","2,342","–","5","3,154"
"Naphtha for Petrochemical Feedstock Use","171","518","1,311","–","5","2,005"
"Other Oils for Petrochemical Feedstock Use","–","118","1,031","–","–","1,149"
"Special Naphthas","21","154","1,093","–","59","1,327"
"Refinery","7","82","959","–","59","1,107"
"Bulk Terminal","14","72","134","–","–","220"
"Lubricants","1,262","655","9,232","–","959","12,108"
"Refinery","686","248","5,722","–","679","7,335"
"Bulk Terminal","576","407","3,510","–","280","4,773"
"Waxes","302","46","247","–","–","595"
"Refinery","302","46","247","–","–","595"
"Petroleum Coke","–","921","3,201","109","1,482","5,713"
"Refinery","–","921","3,201","109","1,482","5,713"
"Asphalt and Road Oil","4,215","8,857","4,451","1,024","1,437","19,984"
"Refinery","625","3,541","2,059","556","651","7,432"
"Bulk Terminal","3,590","5,316","2,392","468","786","12,552"
"Miscellaneous Products","33","102","635","22","78","870"
"Refinery","33","102","499","22","78","734"
"Bulk Terminal","–","–","126","–","–","126"
"Pipeline","–","–","10","–","–","10"
"Total Stocks, All Oils","199,351","326,226","1,340,037","44,807","139,834","2,050,255"
