BLDGID1        Building ID                                         
FKCC1          Conv. from oil/Cooking                     $YESNO15.
BOILR1         Boilers present                            $YESNO15.
NBOILR1        Number of boilers                          MISS3CH15
ELUSED1        Electricity used                           $YESNO15.
NGUSED1        Natural gas used                           $YESNO15.
FKUSED1        Fuel oil used                              $YESNO15.
STUSED1        Steam used                                 $YESNO15.
CWUSED1        Chilled water used                         $YESNO15.
COUSED1        Coal used                                  $YESNO15.
PRUSED1        Propane used                               $YESNO15.
HWUSED1        Hot water used                             $YESNO15.
WOUSED1        Wood used                                  $YESNO15.
SOUSED1        Solar used                                 $YESNO15.
OTUSED1        Other used                                 $YESNO15.
HEAT1          Heating/Energy end-use                     $YESNO15.
COOL1          Cooling energy end-use                     $YESNO15.
WATER1         Water Heating energy end-use               $YESNO15.
GENER1         Generation/Energy end-use                  $YESNO15.
MANUF1         Manufacturing/energy end-use               $YESNO15.
COOK1          Cooking energy end-use                     $YESNO15.
NTANKS1        Number of tanks                            MISS3CH15
TOTCAP1        Total tank capacity                        COMMA8.  
ACTINV1        Actual inventory                           COMMA8.  
ESTINV1        Estimated inventory                        COMMA8.  
TOTINV1        Total inventory                            COMMA8.  
BKLR1          Booklet received                           $YESNO15.
CRTPST1        Certificate posted                         $YESNO15.
CRTCMP1        Certificate compliance                     $CERTCMP2
SMSA1          SMSA designator                            $SMSA18. 
CLIMAT1        Climate Zone                               $CLIMAT23
HDD651         Heating degree days (base 65)              COMMA10. 
CDD651         Cooling degree days (base 65)              COMMA10. 
ELHEAT1        Heating/Electricity                        $USE15.  
ELCOOL1        Cooling/Electricity                        $USE15.  
ELWATR1        Water heating/Electricity                  $USE15.  
ELGENR1        Generation/Electricity                     $USE15.  
ELMANU1        Manufacturing/Electricity                  $USE15.  
ELCOOK1        Cooking/Electricity                        $USE15.  
ELBOIL1        Fires boiler/Electricity                   $BOILR20.
PRHEAT1        Heating/Propane                            $USE15.  
PRCOOL1        Cooling/Propane                            $USE15.  
PRWATR1        Water heating/Propane                      $USE15.  
PRGENR1        Generation/Propane                         $USE15.  
PRMANU1        Manufacturing/Propane                      $USE15.  
PRCOOK1        Cooking/Propane                            $USE15.  
PRBOIL1        Fires boiler/Propane                       $BOILR20.
NGHEAT1        Heating/Natural gas                        $USE15.  
NGCOOL1        Cooling/Natural gas                        $USE15.  
NGWATR1        Water heating/Natural gas                  $USE15.  
NGGENR1        Generation/Natural gas                     $USE15.  
NGMANU1        Manufacturing/Natural gas                  $USE15.  
NGCOOK1        Cooking/Natural gas                        $USE15.  
NGBOIL1        Fires boiler/Natural gas                   $BOILR20.
FKHEAT1        Heating/Fuel oil-kerosene                  $USE15.  
FKCOOL1        Cooling/Fuel oil-kerosene                  $USE15.  
FKWATR1        Water heating/Fuel oil-kerosene            $USE15.  
FKGENR1        Generation/Fuel oil-kerosene               $USE15.  
FKMANU1        Manufacturing/Fuel oil-kerosene            $USE15.  
FKCOOK1        Cooking/Fuel oil-kerosene                  $USE15.  
FKBOIL1        Fires boiler/Fuel oil-kerosene             $BOILR20.
STHEAT1        Heating/Steam                              $USE15.  
STCOOL1        Cooling/Steam                              $USE15.  
STWATR1        Water heating/Steam                        $USE15.  
STGENR1        Generation/Steam                           $USE15.  
STMANU1        Manufacturing/Steam                        $USE15.  
STCOOK1        Cooking/Steam                              $USE15.  
STBOIL1        Fires boiler/Steam                         $BOILR20.
COHEAT1        Heating/Coal                               $USE15.  
COCOOL1        Cooling/Coal                               $USE15.  
COWATR1        Water heating/Coal                         $USE15.  
COGENR1        Generation/Coal                            $USE15.  
COMANU1        Manufacturing/Coal                         $USE15.  
COCOOK1        Cooking/Coal                               $USE15.  
COBOIL1        Fires boiler/Coal                          $BOILR20.
CSTWNU1        Cooling type/Window unit                   $YESNO15.
CSTPAC1        Cooling type/Packaged                      $YESNO15.
CSTCS1         Cooling type/Central system                $YESNO15.
CSTOTH1        Cooing type/Other                          $YESNO15.
