"Table 53.  Stocks of Crude Oil and Petroleum Products by PAD District, December 2005",,,,,,,,,,
,Isobutane/Isobutylene,,,,215,"1,824","3,972",158,418,"6,587"
,,Refinery,,,213,380,"1,071",73,295,"2,032"
,,Bulk Terminal,,,0,859,"1,700",0,77,"2,636"
,,Pipeline,,,0,548,875,70,0,"1,493"
,,Natural Gas Processing Plant ,,,2,37,326,15,46,426
Other Hydrocarbons/Hydrogen/Oxygenates,,,,,"1,715","2,619","2,375",89,"1,865","8,663"
,,Refinery,,,512,47,"1,120",48,39,"1,766"
,,Bulk Terminal,,,"1,203","2,572","1,255",41,"1,662","6,733"
,,Pipeline,,,0,0,0,0,164,164
,Other Hydrocarbons/Hydrogen,,,,0,28,4,0,13,45
,,Refinery,,,0,28,4,0,13,45
,Fuel Ethanol,,,,897,"2,591",134,89,"1,852","5,563"
,,Refinery,,,0,19,16,48,26,109
,,Bulk Terminalc,,,897,"2,572",118,41,"1,662","5,290"
,,Pipeline,,,0,0,0,0,164,164
,MTBE,,,,818,0,"2,042",0,0,"2,860"
,,Refinery,,,512,0,"1,093",0,0,"1,605"
,,Bulk Terminald,,,306,0,949,0,0,"1,255"
,,Pipeline,,,0,0,0,0,0,0
,Other Oxygenatese,,,,0,0,195,0,0,195
,,Refinery,,,0,0,7,0,0,7
,,Bulk Terminald,,,0,0,188,0,0,188
,,Pipeline,,,0,0,0,0,0,0
Unfinished Oils,,,,,"8,145","12,119","43,184","3,005","19,408","85,861"
,Naphthas and Lighter,,,,"1,523","3,547","9,620",617,"3,532","18,839"
,,Refinery,,,"1,257","3,547","9,337",617,"3,511","18,269"
,,Bulk Terminal,,,266,0,283,0,21,570
,Kerosene and Light Gas Oils,,,,"1,943","2,115","7,224",486,"3,338","15,106"
,,Refinery,,,"1,919","2,115","7,106",486,"3,338","14,964"
,,Bulk Terminal,,,24,0,118,0,0,142
,Heavy Gas Oils,,,,"2,740","3,980","18,607","1,264","9,650","36,241"
,,Refinery,,,"2,740","3,980","18,001","1,264","9,650","35,635"
,,Bulk Terminal,,,0,0,606,0,0,606
,Residuum ,,,,"1,939","2,477","7,733",638,"2,888","15,675"
,,Refinery,,,"1,938","2,456","7,733",638,"2,888","15,653"
,,Bulk Terminal,,,1,21,0,0,0,22
Motor Gasoline Blending Components,,,,,"12,518","14,172","20,709","1,580","23,250","72,229"
,Refinery,,,,"4,334","7,701","14,187","1,488","13,646","41,356"
,Bulk Terminal,,,,"7,308","3,802","5,354",92,"5,657","22,213"
,Pipeline,,,,876,"2,669","1,168",0,"3,947","8,660"
,Reformulated,,,,"4,752","5,193","2,242",0,"12,650","24,837"
,,Refinery,,,772,"1,268",632,0,"5,891","8,563"
,,Bulk Terminal,,,"3,542","2,943",853,0,"4,737","12,075"
,,Pipeline,,,438,982,757,0,"2,022","4,199"
,,GTAB,,,"1,082",0,0,0,0,"1,082"
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,"1,082",0,0,0,0,"1,082"
,,,Pipeline,,0,0,0,0,0,0
,,RBOB for Blending with Ether,,,104,0,0,0,0,104
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,104,0,0,0,0,104
,,,Pipeline,,0,0,0,0,0,0
,,RBOB for Blending with Alcohol,,,"3,566","5,193","2,242",0,"12,650","23,651"
,,,Refinery,,772,"1,268",632,0,"5,891","8,563"
,,,Bulk Terminal,,"2,356","2,943",853,0,"4,737","10,889"
,,,Pipeline,,438,982,757,0,"2,022","4,199"
,Conventional,,,,"7,766","8,979","18,467","1,580","10,600","47,392"
,,Refinery,,,"3,562","6,433","13,555","1,488","7,755","32,793"
,,Bulk Terminal,,,"3,766",859,"4,501",92,920,"10,138"
,,Pipeline,,,438,"1,687",411,0,"1,925","4,461"
,,CBOB,,,13,"2,650",683,0,"1,059","4,405"
,,,Refinery,,0,"1,108",229,0,542,"1,879"
,,,Bulk Terminal,,13,820,131,0,170,"1,134"
,,,Pipeline,,0,722,323,0,347,"1,392"
,,GTAB,,,732,34,0,0,278,"1,044"
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,732,34,0,0,278,"1,044"
,,,Pipeline,,0,0,0,0,0,0
,,Other,,,"7,021","6,295","17,784","1,580","9,263","41,943"
,,,Refinery,,"3,562","5,325","13,326","1,488","7,213","30,914"
,,,Bulk Terminal,,"3,021",5,"4,370",92,472,"7,960"
,,,Pipeline,,438,965,88,0,"1,578","3,069"
Aviation Gasoline Blending Components,,,,,139,47,4,0,0,190
,Refinery,,,,139,47,4,0,0,190
Finished Motor Gasoline,,,,,"38,962","39,183","43,818","4,336","8,471","134,770"
,Refinery,,,,"4,568","5,723","13,023","2,179","2,819","28,312"
,Bulk Terminal,,,,"22,376","17,371","10,935",836,"4,794","56,312"
,Pipeline,,,,"12,018","16,089","19,860","1,321",858,"50,146"
,Reformulated,,,,"11,959",127,"7,066",0,"1,140","20,292"
,,Refinery,,,"2,311",0,"1,929",0,325,"4,565"
,,Bulk Terminal,,,"6,535",99,"2,232",0,684,"9,550"
,,Pipeline,,,"3,113",28,"2,905",0,131,"6,177"
,,Reformulated (Blended with Ether),,,"11,519",122,"6,429",0,495,"18,565"
,,,Refinery,,"2,311",0,"1,806",0,0,"4,117"
,,,Bulk Terminal,,"6,095",94,"2,217",0,495,"8,901"
,,,Pipeline,,"3,113",28,"2,406",0,0,"5,547"
,,Reformulated (Blended with Alcohol),,,64,0,0,0,14,78
,,,Refinery,,0,0,0,0,14,14
,,,Bulk Terminal,,64,0,0,0,0,64
,,,Pipeline,,0,0,0,0,0,0
,,Reformulated (Non-Oxygenated),,,376,5,637,0,631,"1,649"
,,,Refinery,,0,0,123,0,311,434
,,,Bulk Terminal,,376,5,15,0,189,585
,,,Pipeline,,0,0,499,0,131,630
,Conventional,,,,"27,003","39,056","36,752","4,336","7,331","114,478"
,,Refinery,,,"2,257","5,723","11,094","2,179","2,494","23,747"
,,Bulk Terminal,,,"15,841","17,272","8,703",836,"4,110","46,762"
,,Pipeline,,,"8,905","16,061","16,955","1,321",727,"43,969"
,,Conventional (Blended with Alcohol),,,0,0,0,2,0,2
,,,Refinery,,0,0,0,2,0,2
,,,Bulk Terminal,,0,0,0,0,0,0
,,,Pipeline,,0,0,0,0,0,0
,,Conventional (Other),,,"27,003","39,056","36,752","4,334","7,331","114,476"
,,,Refinery,,"2,257","5,723","11,094","2,177","2,494","23,745"
,,,Bulk Terminal,,"15,841","17,272","8,703",836,"4,110","46,762"
,,,Pipeline,,"8,905","16,061","16,955","1,321",727,"43,969"
Finished Aviation Gasoline,,,,,91,349,410,33,330,"1,213"
,,Refinery,,,0,123,328,32,188,671
,,Bulk Terminal,,,91,201,82,1,142,517
,,Pipeline,,,0,25,0,0,0,25
Kerosene-Type Jet Fuel,,,,,"8,956","7,979","13,669",684,"10,496","41,784"
,,Refinery,,,635,"1,645","5,149",258,"3,823","11,510"
,,Bulk Terminal,,,"4,195","2,086","3,155",214,"4,901","14,551"
,,Pipeline,,,"4,126","4,248","5,365",212,"1,772","15,723"
Kerosene,,,,,"3,396",910,626,76,84,"5,092"
,,Refinery,,,177,351,350,35,71,984
,,Bulk Terminal,,,"3,007",517,276,0,5,"3,805"
,,Pipeline,,,212,42,0,41,8,303
Distillate Fuel Oilb,,,,,"58,588","29,107","31,731","2,886","13,698","136,010"
,,Refinery,,,"4,638","6,876","12,641","1,478","5,508","31,141"
,,Bulk Terminal,,,"44,017","11,069","7,105",656,"5,662","68,509"
,,Pipeline,,,"9,933","11,162","11,985",752,"2,528","36,360"
,15 ppm sulfur and Under,,,,612,150,103,0,827,"1,692"
,,Refinery,,,0,88,68,0,290,446
,,Bulk Terminal,,,612,51,35,0,434,"1,132"
,,Pipeline,,,0,11,0,0,103,114
,Greater than 15 ppm to 500 ppm sulfur,,,,"21,404","21,639","21,727","2,361","9,915","77,046"
,,Refinery,,,"2,499","4,356","6,746","1,011","3,778","18,390"
,,Bulk Terminal,,,"14,377","8,765","5,351",615,"4,039","33,147"
,,Pipeline,,,"4,528","8,518","9,630",735,"2,098","25,509"
,Greater than 500 ppm sulfur,,,,"36,572","7,318","9,901",525,"2,956","57,272"
,,Refinery,,,"2,139","2,432","5,827",467,"1,440","12,305"
,,Bulk Terminal,,,"29,028","2,253","1,719",41,"1,189","34,230"
,,Pipeline,,,"5,405","2,633","2,355",17,327,"10,737"
Residual Fuel Oilf,,,,,"14,514","1,882","15,605",254,"5,072","37,327"
,,Refinery,,,"1,840","1,352","4,096",254,"2,394","9,936"
,,Bulk Terminal,,,"12,674",530,"11,509",0,"2,503","27,216"
,,Pipeline,,,0,0,0,0,175,175
,Less than 0.31% Sulfur,,,,"4,383",265,995,9,279,"5,931"
,,Refinery,,,839,0,159,9,122,"1,129"
,,Bulk Terminal,,,"3,544",265,836,0,157,"4,802"
,0.31% to 1.00% Sulfur,,,,"5,871",185,"4,494",60,"1,048","11,658"
,,Refinery,,,697,78,435,60,842,"2,112"
,,Bulk Terminal,,,"5,174",107,"4,059",0,206,"9,546"
,Greater than 1.00% Percent Sulfur,,,,"4,260","1,432","10,116",185,"3,570","19,563"
,,Refinery,,,304,"1,274","3,502",185,"1,430","6,695"
,,Bulk Terminal,,,"3,956",158,"6,614",0,"2,140","12,868"
Petrochemical Feedstocks,,,,,443,446,"2,350",0,188,"3,427"
,Refinery,,,,443,446,"2,350",0,188,"3,427"
,,Naphtha for Petrochemical Feedstock Use,,,443,349,"1,157",0,0,"1,949"
,,Other Oils for Petrochemical Feedstock Use,,,0,97,"1,193",0,188,"1,478"
Special Naphthas,,,,,73,295,"1,125",3,37,"1,533"
,,Refinery,,,30,225,"1,042",3,37,"1,337"
,,Bulk Terminal,,,43,70,83,0,0,196
Lubricants,,,,,"1,988",940,"5,578",0,"1,147","9,653"
,,Refinery,,,626,277,"4,225",0,698,"5,826"
,,Bulk Terminal,,,"1,362",663,"1,353",0,449,"3,827"
Waxes,,,,,167,75,281,26,0,549
,,Refinery,,,167,75,281,26,0,549
Petroleum Coke,,,,,34,"1,364","5,617",91,"2,671","9,777"
,,Refinery,,,34,"1,364","5,617",91,"2,671","9,777"
Asphalt and Road Oil,,,,,"4,601","8,761","4,077","1,706","1,810","20,955"
,,Refinery,,,"1,337","4,629","2,583","1,297","1,128","10,974"
,,Bulk Terminal,,,"3,264","4,132","1,494",409,682,"9,981"
Miscellaneous Products,,,,,109,217,958,5,174,"1,463"
,,Refinery,,,32,84,408,1,79,604
,,Bulk Terminal,,,77,129,499,4,95,804
,,Pipeline,,,0,4,51,0,0,55
"Total Stocks, All Oils",,,,,"174,847","220,413","1,125,558","30,381","144,659","1,695,858"
