Day,Hour,Day,order,Hourly day-ahead price,Daily on-peak price,Weighted Average Monthly Price
8/4/2011,22,4,94,49.1,488,188
8/4/2011,23,4,95,43.86,488,188
8/4/2011,24,4,96,36.98,488,188
8/5/2011,1,5,97,30.99,644,188
8/5/2011,2,5,98,27.01,644,188
8/5/2011,3,5,99,25.1,644,188
8/5/2011,4,5,100,23.96,644,188
8/5/2011,5,5,101,23.28,644,188
8/5/2011,6,5,102,24.95,644,188
8/5/2011,7,5,103,24.72,644,188
8/5/2011,8,5,104,25.57,644,188
8/5/2011,9,5,105,28.56,644,188
8/5/2011,10,5,106,35.59,644,188
8/5/2011,11,5,107,40.47,644,188
8/5/2011,12,5,108,53.06,644,188
8/5/2011,13,5,109,64,644,188
8/5/2011,14,5,110,248.76,644,188
8/5/2011,15,5,111,2000.01,644,188
8/5/2011,16,5,112,2500.59,644,188
8/5/2011,17,5,113,2500.76,644,188
8/5/2011,18,5,114,2250,644,188
8/5/2011,19,5,115,350,644,188
8/5/2011,20,5,116,76.29,644,188
8/5/2011,21,5,117,54.28,644,188
8/5/2011,22,5,118,46.26,644,188
8/5/2011,23,5,119,43.34,644,188
8/5/2011,24,5,120,38.02,644,188
8/6/2011,1,6,121,31.12,155,188
8/6/2011,2,6,122,26.26,155,188
8/6/2011,3,6,123,24.58,155,188
8/6/2011,4,6,124,22.9,155,188
8/6/2011,5,6,125,22.17,155,188
8/6/2011,6,6,126,21.42,155,188
8/6/2011,7,6,127,23.27,155,188
8/6/2011,8,6,128,24.62,155,188
8/6/2011,9,6,129,26,155,188
8/6/2011,10,6,130,34,155,188
8/6/2011,11,6,131,37.88,155,188
8/6/2011,12,6,132,50.29,155,188
8/6/2011,13,6,133,65.49,155,188
8/6/2011,14,6,134,130,155,188
8/6/2011,15,6,135,496.69,155,188
8/6/2011,16,6,136,793.08,155,188
8/6/2011,17,6,137,902.44,155,188
8/6/2011,18,6,138,621,155,188
8/6/2011,19,6,139,111.44,155,188
8/6/2011,20,6,140,62.53,155,188
8/6/2011,21,6,141,59.78,155,188
8/6/2011,22,6,142,53.29,155,188
8/6/2011,23,6,143,42.94,155,188
8/6/2011,24,6,144,35.83,155,188
8/7/2011,1,7,145,31.6,103,188
8/7/2011,2,7,146,26.22,103,188
8/7/2011,3,7,147,24.68,103,188
8/7/2011,4,7,148,22.96,103,188
8/7/2011,5,7,149,22.08,103,188
8/7/2011,6,7,150,20.29,103,188
8/7/2011,7,7,151,24,103,188
8/7/2011,8,7,152,23.9,103,188
8/7/2011,9,7,153,25,103,188
8/7/2011,10,7,154,32.24,103,188
8/7/2011,11,7,155,36.17,103,188
8/7/2011,12,7,156,47.56,103,188
8/7/2011,13,7,157,51.63,103,188
8/7/2011,14,7,158,90.91,103,188
8/7/2011,15,7,159,175.31,103,188
8/7/2011,16,7,160,547.6,103,188
8/7/2011,17,7,161,584.92,103,188
8/7/2011,18,7,162,365.74,103,188
8/7/2011,19,7,163,92.56,103,188
8/7/2011,20,7,164,56.15,103,188
8/7/2011,21,7,165,54.51,103,188
8/7/2011,22,7,166,47.97,103,188
8/7/2011,23,7,167,38.97,103,188
8/7/2011,24,7,168,33.56,103,188
8/8/2011,1,8,169,27.83,516,188
8/8/2011,2,8,170,24.77,516,188
8/8/2011,3,8,171,23.57,516,188
8/8/2011,4,8,172,22.91,516,188
8/8/2011,5,8,173,22.93,516,188
8/8/2011,6,8,174,23,516,188
8/8/2011,7,8,175,23.27,516,188
8/8/2011,8,8,176,23.86,516,188
8/8/2011,9,8,177,26.19,516,188
8/8/2011,10,8,178,30,516,188
8/8/2011,11,8,179,32.53,516,188
8/8/2011,12,8,180,48,516,188
8/8/2011,13,8,181,56.81,516,188
8/8/2011,14,8,182,174.27,516,188
8/8/2011,15,8,183,1526.05,516,188
8/8/2011,16,8,184,2180.41,516,188
8/8/2011,17,8,185,2301.69,516,188
8/8/2011,18,8,186,1545.01,516,188
8/8/2011,19,8,187,127.29,516,188
8/8/2011,20,8,188,56.55,516,188
8/8/2011,21,8,189,54.03,516,188
8/8/2011,22,8,190,45.13,516,188
8/8/2011,23,8,191,37.91,516,188
8/8/2011,24,8,192,32.3,516,188
8/9/2011,1,9,193,27.76,592,188
8/9/2011,2,9,194,24.95,592,188
8/9/2011,3,9,195,23,592,188
8/9/2011,4,9,196,21.21,592,188
8/9/2011,5,9,197,21,592,188
8/9/2011,6,9,198,22,592,188
8/9/2011,7,9,199,22.2,592,188
8/9/2011,8,9,200,23,592,188
8/9/2011,9,9,201,25.35,592,188
8/9/2011,10,9,202,28.01,592,188
8/9/2011,11,9,203,33.12,592,188
8/9/2011,12,9,204,50,592,188
8/9/2011,13,9,205,55.32,592,188
8/9/2011,14,9,206,198.3,592,188
8/9/2011,15,9,207,1552.95,592,188
8/9/2011,16,9,208,2589.24,592,188
8/9/2011,17,9,209,2597.26,592,188
8/9/2011,18,9,210,1975.85,592,188
8/9/2011,19,9,211,163.41,592,188
8/9/2011,20,9,212,60.18,592,188
8/9/2011,21,9,213,56.44,592,188
8/9/2011,22,9,214,47.8,592,188
8/9/2011,23,9,215,39.39,592,188
8/9/2011,24,9,216,34.21,592,188
8/10/2011,1,10,217,28.26,348,188
8/10/2011,2,10,218,25.23,348,188
8/10/2011,3,10,219,23.86,348,188
8/10/2011,4,10,220,22.79,348,188
8/10/2011,5,10,221,22.3,348,188
8/10/2011,6,10,222,22.72,348,188
8/10/2011,7,10,223,21.51,348,188
8/10/2011,8,10,224,22.87,348,188
8/10/2011,9,10,225,25.56,348,188
8/10/2011,10,10,226,30.08,348,188
8/10/2011,11,10,227,35.2,348,188
8/10/2011,12,10,228,44.24,348,188
8/10/2011,13,10,229,55.83,348,188
8/10/2011,14,10,230,135.62,348,188
8/10/2011,15,10,231,543.21,348,188
8/10/2011,16,10,232,1607.56,348,188
8/10/2011,17,10,233,1985.25,348,188
8/10/2011,18,10,234,821.34,348,188
8/10/2011,19,10,235,89.3,348,188
8/10/2011,20,10,236,58.44,348,188
8/10/2011,21,10,237,51.35,348,188
8/10/2011,22,10,238,44.96,348,188
8/10/2011,23,10,239,39.36,348,188
8/10/2011,24,10,240,33,348,188
8/11/2011,1,11,241,27.35,105,188
8/11/2011,2,11,242,24.59,105,188
8/11/2011,3,11,243,23.34,105,188
8/11/2011,4,11,244,21.83,105,188
8/11/2011,5,11,245,21.7,105,188
8/11/2011,6,11,246,22.45,105,188
8/11/2011,7,11,247,22.63,105,188
8/11/2011,8,11,248,23.31,105,188
8/11/2011,9,11,249,25.36,105,188
8/11/2011,10,11,250,30.72,105,188
8/11/2011,11,11,251,34.99,105,188
8/11/2011,12,11,252,42,105,188
8/11/2011,13,11,253,53.8,105,188
8/11/2011,14,11,254,66.14,105,188
8/11/2011,15,11,255,142,105,188
8/11/2011,16,11,256,460.81,105,188
8/11/2011,17,11,257,422.27,105,188
8/11/2011,18,11,258,142,105,188
8/11/2011,19,11,259,70.82,105,188
8/11/2011,20,11,260,57.51,105,188
8/11/2011,21,11,261,48.88,105,188
8/11/2011,22,11,262,41.95,105,188
8/11/2011,23,11,263,38.92,105,188
8/11/2011,24,11,264,32.49,105,188
8/12/2011,1,12,265,27.73,56,188
8/12/2011,2,12,266,24.37,56,188
8/12/2011,3,12,267,23.34,56,188
8/12/2011,4,12,268,21.52,56,188
8/12/2011,5,12,269,20.98,56,188
8/12/2011,6,12,270,22.18,56,188
8/12/2011,7,12,271,24.18,56,188
8/12/2011,8,12,272,25.18,56,188
8/12/2011,9,12,273,26.07,56,188
8/12/2011,10,12,274,31.4,56,188
8/12/2011,11,12,275,33.72,56,188
8/12/2011,12,12,276,43.18,56,188
8/12/2011,13,12,277,51.27,56,188
8/12/2011,14,12,278,59.11,56,188
8/12/2011,15,12,279,70.34,56,188
8/12/2011,16,12,280,119.39,56,188
8/12/2011,17,12,281,138.08,56,188
8/12/2011,18,12,282,76.01,56,188
8/12/2011,19,12,283,59.9,56,188
8/12/2011,20,12,284,48.75,56,188
8/12/2011,21,12,285,45.67,56,188
8/12/2011,22,12,286,40,56,188
8/12/2011,23,12,287,33.97,56,188
8/12/2011,24,12,288,30.21,56,188
8/13/2011,1,13,289,29.81,42,188
8/13/2011,2,13,290,25.82,42,188
8/13/2011,3,13,291,24.07,42,188
8/13/2011,4,13,292,23,42,188
8/13/2011,5,13,293,22.03,42,188
8/13/2011,6,13,294,22.68,42,188
8/13/2011,7,13,295,26,42,188
8/13/2011,8,13,296,26,42,188
8/13/2011,9,13,297,28,42,188
8/13/2011,10,13,298,31.97,42,188
8/13/2011,11,13,299,37.87,42,188
8/13/2011,12,13,300,44.74,42,188
8/13/2011,13,13,301,48,42,188
8/13/2011,14,13,302,55,42,188
8/13/2011,15,13,303,60.08,42,188
8/13/2011,16,13,304,81.83,42,188
8/13/2011,17,13,305,94.74,42,188
8/13/2011,18,13,306,75.14,42,188
8/13/2011,19,13,307,55,42,188
8/13/2011,20,13,308,49.3,42,188
8/13/2011,21,13,309,45.34,42,188
8/13/2011,22,13,310,41,42,188
8/13/2011,23,13,311,35.53,42,188
8/13/2011,24,13,312,30.96,42,188
8/14/2011,1,14,313,29.71,42,188
8/14/2011,2,14,314,24.88,42,188
8/14/2011,3,14,315,23.99,42,188
8/14/2011,4,14,316,23.21,42,188
8/14/2011,5,14,317,22.15,42,188
8/14/2011,6,14,318,21.92,42,188
8/14/2011,7,14,319,25.08,42,188
8/14/2011,8,14,320,25.48,42,188
8/14/2011,9,14,321,28,42,188
8/14/2011,10,14,322,30,42,188
8/14/2011,11,14,323,35.38,42,188
8/14/2011,12,14,324,41.07,42,188
8/14/2011,13,14,325,45.93,42,188
8/14/2011,14,14,326,54.08,42,188
8/14/2011,15,14,327,59.13,42,188
8/14/2011,16,14,328,84.89,42,188
8/14/2011,17,14,329,93.69,42,188
8/14/2011,18,14,330,70.19,42,188
8/14/2011,19,14,331,55.51,42,188
8/14/2011,20,14,332,48,42,188
8/14/2011,21,14,333,45.03,42,188
8/14/2011,22,14,334,43.63,42,188
8/14/2011,23,14,335,36.96,42,188
8/14/2011,24,14,336,32.52,42,188
8/15/2011,1,15,337,30,89,188
8/15/2011,2,15,338,25.51,89,188
8/15/2011,3,15,339,24.39,89,188
8/15/2011,4,15,340,23.38,89,188
8/15/2011,5,15,341,23.91,89,188
8/15/2011,6,15,342,25,89,188
8/15/2011,7,15,343,25.66,89,188
8/15/2011,8,15,344,27,89,188
8/15/2011,9,15,345,28,89,188
8/15/2011,10,15,346,30.34,89,188
8/15/2011,11,15,347,35.18,89,188
8/15/2011,12,15,348,42.99,89,188
8/15/2011,13,15,349,52,89,188
8/15/2011,14,15,350,64.22,89,188
8/15/2011,15,15,351,125.13,89,188
8/15/2011,16,15,352,300,89,188
8/15/2011,17,15,353,300,89,188
8/15/2011,18,15,354,193.69,89,188
8/15/2011,19,15,355,64.36,89,188
8/15/2011,20,15,356,50.1,89,188
8/15/2011,21,15,357,48.7,89,188
8/15/2011,22,15,358,42.43,89,188
8/15/2011,23,15,359,40.02,89,188
8/15/2011,24,15,360,34.17,89,188
8/16/2011,1,16,361,29.15,56,188
8/16/2011,2,16,362,25.22,56,188
8/16/2011,3,16,363,24.14,56,188
8/16/2011,4,16,364,22.74,56,188
8/16/2011,5,16,365,22.2,56,188
8/16/2011,6,16,366,23.49,56,188
8/16/2011,7,16,367,23.91,56,188
8/16/2011,8,16,368,24.92,56,188
8/16/2011,9,16,369,25.96,56,188
8/16/2011,10,16,370,29.92,56,188
8/16/2011,11,16,371,34.51,56,188
8/16/2011,12,16,372,40.66,56,188
8/16/2011,13,16,373,46.84,56,188
8/16/2011,14,16,374,56.35,56,188
8/16/2011,15,16,375,82,56,188
8/16/2011,16,16,376,120.41,56,188
8/16/2011,17,16,377,125.36,56,188
8/16/2011,18,16,378,86.57,56,188
8/16/2011,19,16,379,61.47,56,188
8/16/2011,20,16,380,49.04,56,188
8/16/2011,21,16,381,47.69,56,188
8/16/2011,22,16,382,43.21,56,188
8/16/2011,23,16,383,37.61,56,188
8/16/2011,24,16,384,32.43,56,188
8/17/2011,1,17,385,29.24,72,188
8/17/2011,2,17,386,25.33,72,188
8/17/2011,3,17,387,24.1,72,188
8/17/2011,4,17,388,23.18,72,188
8/17/2011,5,17,389,23.17,72,188
8/17/2011,6,17,390,24.26,72,188
8/17/2011,7,17,391,24.64,72,188
8/17/2011,8,17,392,25.4,72,188
8/17/2011,9,17,393,27,72,188
8/17/2011,10,17,394,31.92,72,188
8/17/2011,11,17,395,35.54,72,188
8/17/2011,12,17,396,41.98,72,188
8/17/2011,13,17,397,47.16,72,188
8/17/2011,14,17,398,56.63,72,188
8/17/2011,15,17,399,93.34,72,188
8/17/2011,16,17,400,225.42,72,188
8/17/2011,17,17,401,251.88,72,188
8/17/2011,18,17,402,98.86,72,188
8/17/2011,19,17,403,59.49,72,188
8/17/2011,20,17,404,47.29,72,188
8/17/2011,21,17,405,44.74,72,188
8/17/2011,22,17,406,40.63,72,188
8/17/2011,23,17,407,39.78,72,188
8/17/2011,24,17,408,33.44,72,188
8/18/2011,1,18,409,28.42,134,188
8/18/2011,2,18,410,24.82,134,188
8/18/2011,3,18,411,24.01,134,188
8/18/2011,4,18,412,22.98,134,188
8/18/2011,5,18,413,22.86,134,188
8/18/2011,6,18,414,24.34,134,188
8/18/2011,7,18,415,25.55,134,188
8/18/2011,8,18,416,26.25,134,188
8/18/2011,9,18,417,27.58,134,188
8/18/2011,10,18,418,32.54,134,188
8/18/2011,11,18,419,36.84,134,188
8/18/2011,12,18,420,47.19,134,188
8/18/2011,13,18,421,53.71,134,188
8/18/2011,14,18,422,80.33,134,188
8/18/2011,15,18,423,227.18,134,188
8/18/2011,16,18,424,501.59,134,188
8/18/2011,17,18,425,555.6,134,188
8/18/2011,18,18,426,301.81,134,188
8/18/2011,19,18,427,76.01,134,188
8/18/2011,20,18,428,57.35,134,188
8/18/2011,21,18,429,50.3,134,188
8/18/2011,22,18,430,44.21,134,188
8/18/2011,23,18,431,38.01,134,188
8/18/2011,24,18,432,32.39,134,188
8/19/2011,1,19,433,27.43,98,188
8/19/2011,2,19,434,23.74,98,188
8/19/2011,3,19,435,22.51,98,188
8/19/2011,4,19,436,21.61,98,188
8/19/2011,5,19,437,20.94,98,188
8/19/2011,6,19,438,23.2,98,188
8/19/2011,7,19,439,24.18,98,188
8/19/2011,8,19,440,24.83,98,188
8/19/2011,9,19,441,26.49,98,188
8/19/2011,10,19,442,32.15,98,188
8/19/2011,11,19,443,36.08,98,188
8/19/2011,12,19,444,42.48,98,188
8/19/2011,13,19,445,49.81,98,188
8/19/2011,14,19,446,60.53,98,188
8/19/2011,15,19,447,116.65,98,188
8/19/2011,16,19,448,376.59,98,188
8/19/2011,17,19,449,463.34,98,188
8/19/2011,18,19,450,113.3,98,188
8/19/2011,19,19,451,59.14,98,188
8/19/2011,20,19,452,50.56,98,188
8/19/2011,21,19,453,45.27,98,188
8/19/2011,22,19,454,40.05,98,188
8/19/2011,23,19,455,37.47,98,188
8/19/2011,24,19,456,33.01,98,188
8/20/2011,1,20,457,32.13,44,188
8/20/2011,2,20,458,26.72,44,188
8/20/2011,3,20,459,25.18,44,188
8/20/2011,4,20,460,23.84,44,188
8/20/2011,5,20,461,23.25,44,188
8/20/2011,6,20,462,23.26,44,188
8/20/2011,7,20,463,25,44,188
8/20/2011,8,20,464,25.02,44,188
8/20/2011,9,20,465,27.57,44,188
8/20/2011,10,20,466,30.24,44,188
8/20/2011,11,20,467,35.41,44,188
8/20/2011,12,20,468,45,44,188
8/20/2011,13,20,469,48.4,44,188
8/20/2011,14,20,470,56.45,44,188
8/20/2011,15,20,471,69.96,44,188
8/20/2011,16,20,472,86.92,44,188
8/20/2011,17,20,473,98.34,44,188
8/20/2011,18,20,474,78.16,44,188
8/20/2011,19,20,475,64,44,188
8/20/2011,20,20,476,53.07,44,188
8/20/2011,21,20,477,48.62,44,188
8/20/2011,22,20,478,44.92,44,188
8/20/2011,23,20,479,37.85,44,188
8/20/2011,24,20,480,33.83,44,188
8/21/2011,1,21,481,32.07,44,188
8/21/2011,2,21,482,25.5,44,188
8/21/2011,3,21,483,24.26,44,188
8/21/2011,4,21,484,23.36,44,188
8/21/2011,5,21,485,22.83,44,188
8/21/2011,6,21,486,22.76,44,188
8/21/2011,7,21,487,24,44,188
8/21/2011,8,21,488,24.02,44,188
8/21/2011,9,21,489,26.58,44,188
8/21/2011,10,21,490,29.49,44,188
8/21/2011,11,21,491,33.79,44,188
8/21/2011,12,21,492,40.75,44,188
8/21/2011,13,21,493,47.18,44,188
8/21/2011,14,21,494,52.17,44,188
8/21/2011,15,21,495,65,44,188
8/21/2011,16,21,496,83.93,44,188
8/21/2011,17,21,497,106.38,44,188
8/21/2011,18,21,498,83.59,44,188
8/21/2011,19,21,499,66.3,44,188
8/21/2011,20,21,500,51.67,44,188
8/21/2011,21,21,501,47.95,44,188
8/21/2011,22,21,502,45.13,44,188
8/21/2011,23,21,503,36.34,44,188
8/21/2011,24,21,504,33.23,44,188
8/22/2011,1,22,505,28.97,108,188
8/22/2011,2,22,506,25.19,108,188
8/22/2011,3,22,507,24.47,108,188
8/22/2011,4,22,508,23.34,108,188
8/22/2011,5,22,509,23.17,108,188
8/22/2011,6,22,510,24,108,188
8/22/2011,7,22,511,24.56,108,188
8/22/2011,8,22,512,25.22,108,188
8/22/2011,9,22,513,26.57,108,188
8/22/2011,10,22,514,30.97,108,188
8/22/2011,11,22,515,36.77,108,188
8/22/2011,12,22,516,44.18,108,188
8/22/2011,13,22,517,50.32,108,188
8/22/2011,14,22,518,65.16,108,188
8/22/2011,15,22,519,124.41,108,188
8/22/2011,16,22,520,423,108,188
8/22/2011,17,22,521,529,108,188
8/22/2011,18,22,522,134.59,108,188
8/22/2011,19,22,523,71.74,108,188
8/22/2011,20,22,524,52.49,108,188
8/22/2011,21,22,525,48.93,108,188
8/22/2011,22,22,526,43.07,108,188
8/22/2011,23,22,527,39.54,108,188
8/22/2011,24,22,528,33.75,108,188
8/23/2011,1,23,529,29.11,219,188
8/23/2011,2,23,530,25,219,188
8/23/2011,3,23,531,23.95,219,188
8/23/2011,4,23,532,22.65,219,188
8/23/2011,5,23,533,22.79,219,188
8/23/2011,6,23,534,23.96,219,188
8/23/2011,7,23,535,25.09,219,188
8/23/2011,8,23,536,26.02,219,188
8/23/2011,9,23,537,27.48,219,188
8/23/2011,10,23,538,33,219,188
8/23/2011,11,23,539,38.09,219,188
8/23/2011,12,23,540,47.5,219,188
8/23/2011,13,23,541,56.08,219,188
8/23/2011,14,23,542,70.51,219,188
8/23/2011,15,23,543,301.51,219,188
8/23/2011,16,23,544,1040.56,219,188
8/23/2011,17,23,545,1215.47,219,188
8/23/2011,18,23,546,352.77,219,188
8/23/2011,19,23,547,107.23,219,188
8/23/2011,20,23,548,58.25,219,188
8/23/2011,21,23,549,55.53,219,188
8/23/2011,22,23,550,46.83,219,188
8/23/2011,23,23,551,38.99,219,188
8/23/2011,24,23,552,33.41,219,188
8/24/2011,1,24,553,29.32,260,188
8/24/2011,2,24,554,25.14,260,188
8/24/2011,3,24,555,23.87,260,188
8/24/2011,4,24,556,22.95,260,188
8/24/2011,5,24,557,22.67,260,188
8/24/2011,6,24,558,24,260,188
8/24/2011,7,24,559,25,260,188
8/24/2011,8,24,560,25.97,260,188
8/24/2011,9,24,561,28,260,188
8/24/2011,10,24,562,33,260,188
8/24/2011,11,24,563,37.88,260,188
8/24/2011,12,24,564,47.04,260,188
8/24/2011,13,24,565,57.76,260,188
8/24/2011,14,24,566,96.25,260,188
8/24/2011,15,24,567,390.74,260,188
8/24/2011,16,24,568,1299.74,260,188
8/24/2011,17,24,569,1496.01,260,188
8/24/2011,18,24,570,386.7,260,188
8/24/2011,19,24,571,80.71,260,188
8/24/2011,20,24,572,55.87,260,188
8/24/2011,21,24,573,52.25,260,188
8/24/2011,22,24,574,46.51,260,188
8/24/2011,23,24,575,38.01,260,188
8/24/2011,24,24,576,33.43,260,188
8/25/2011,1,25,577,30.75,475,188
8/25/2011,2,25,578,25.8,475,188
8/25/2011,3,25,579,24.8,475,188
8/25/2011,4,25,580,23.8,475,188
8/25/2011,5,25,581,23.8,475,188
8/25/2011,6,25,582,25,475,188
8/25/2011,7,25,583,26,475,188
8/25/2011,8,25,584,26.8,475,188
8/25/2011,9,25,585,28.19,475,188
8/25/2011,10,25,586,33.16,475,188
8/25/2011,11,25,587,38.09,475,188
8/25/2011,12,25,588,49.16,475,188
8/25/2011,13,25,589,57.79,475,188
8/25/2011,14,25,590,117.77,475,188
8/25/2011,15,25,591,1025.41,475,188
8/25/2011,16,25,592,2520.16,475,188
8/25/2011,17,25,593,2634.97,475,188
8/25/2011,18,25,594,764.99,475,188
8/25/2011,19,25,595,118.24,475,188
8/25/2011,20,25,596,60.54,475,188
8/25/2011,21,25,597,55.43,475,188
8/25/2011,22,25,598,49.55,475,188
8/25/2011,23,25,599,40.46,475,188
8/25/2011,24,25,600,34.29,475,188
8/26/2011,1,26,601,27.5,358,188
8/26/2011,2,26,602,23.57,358,188
8/26/2011,3,26,603,22.56,358,188
8/26/2011,4,26,604,21.19,358,188
8/26/2011,5,26,605,20.65,358,188
8/26/2011,6,26,606,22.37,358,188
8/26/2011,7,26,607,23.19,358,188
8/26/2011,8,26,608,23.83,358,188
8/26/2011,9,26,609,26.17,358,188
8/26/2011,10,26,610,29.02,358,188
8/26/2011,11,26,611,33.63,358,188
8/26/2011,12,26,612,43.44,358,188
8/26/2011,13,26,613,53,358,188
8/26/2011,14,26,614,98.89,358,188
8/26/2011,15,26,615,692.27,358,188
8/26/2011,16,26,616,1976.47,358,188
8/26/2011,17,26,617,1996.32,358,188
8/26/2011,18,26,618,499.86,358,188
8/26/2011,19,26,619,81.24,358,188
8/26/2011,20,26,620,58.21,358,188
8/26/2011,21,26,621,50.92,358,188
8/26/2011,22,26,622,45.35,358,188
8/26/2011,23,26,623,37.06,358,188
8/26/2011,24,26,624,33.17,358,188
8/27/2011,1,27,625,28.11,117,188
8/27/2011,2,27,626,23.53,117,188
8/27/2011,3,27,627,22.28,117,188
8/27/2011,4,27,628,21.46,117,188
8/27/2011,5,27,629,20.83,117,188
8/27/2011,6,27,630,20.88,117,188
8/27/2011,7,27,631,22.99,117,188
8/27/2011,8,27,632,23.19,117,188
8/27/2011,9,27,633,26.55,117,188
8/27/2011,10,27,634,30.7,117,188
8/27/2011,11,27,635,34.36,117,188
8/27/2011,12,27,636,41.6,117,188
8/27/2011,13,27,637,49.6,117,188
8/27/2011,14,27,638,73.63,117,188
8/27/2011,15,27,639,335.61,117,188
8/27/2011,16,27,640,933.28,117,188
8/27/2011,17,27,641,401,117,188
8/27/2011,18,27,642,386,117,188
8/27/2011,19,27,643,85.36,117,188
8/27/2011,20,27,644,49.65,117,188
8/27/2011,21,27,645,50.25,117,188
8/27/2011,22,27,646,46.4,117,188
8/27/2011,23,27,647,37.58,117,188
8/27/2011,24,27,648,33.05,117,188
8/28/2011,1,28,649,27.97,185,188
8/28/2011,2,28,650,23.43,185,188
8/28/2011,3,28,651,22.34,185,188
8/28/2011,4,28,652,21.07,185,188
8/28/2011,5,28,653,19.52,185,188
8/28/2011,6,28,654,18.88,185,188
8/28/2011,7,28,655,23.06,185,188
8/28/2011,8,28,656,23.22,185,188
8/28/2011,9,28,657,25.42,185,188
8/28/2011,10,28,658,27.28,185,188
8/28/2011,11,28,659,32.51,185,188
8/28/2011,12,28,660,40.29,185,188
8/28/2011,13,28,661,49.88,185,188
8/28/2011,14,28,662,100.18,185,188
8/28/2011,15,28,663,397.36,185,188
8/28/2011,16,28,664,1291.25,185,188
8/28/2011,17,28,665,1503.83,185,188
8/28/2011,18,28,666,497.47,185,188
8/28/2011,19,28,667,93.45,185,188
8/28/2011,20,28,668,54.48,185,188
