HHID,NWEIGHT,REGIONC,DIVISION,ENERPGM,REBATPGM,LDCNTPGM,ENGAUPGM,CONSEPGM,OTHPGM,WAGES,SELFHIRE,SSECURTY,PENSIONS,FSTAMPS,AFDC,UNEMPLOY,SSI,OTHERAID,MONEYPY,INC35PLU,KNOWHEAP,HEATAID,COOLAID,LIFELINE,LIHEAPEM,FUELPAID,CASHAID,VOUCHERS,CHECK2PM,OTHERPMT,GOVTAMT,WEATHERZ,FAMSIZE,POOR100,POOR125,HOWPAID,LIHEAP
1046,21579,3,7,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,24,2,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1047,15821,2,3,0,9,9,9,9,9,1,0,0,0,1,1,0,0,0,01,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,1,1,3,1
1048,38142,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1049,20024,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,3,0
1050,17141,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,0
1051,18424,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,3,0
1052,40430,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,04,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,1,1,1,1
1053,9792,4,8,0,9,9,9,9,9,0,1,0,0,0,0,0,0,0,05,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,1,1,1,1
1054,9679,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,03,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1055,16537,2,3,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,05,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,1,1,1,1
1056,25899,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,0
1057,7862,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1058,7625,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1059,13082,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,5,0,0,1,0
1060,20221,4,8,0,9,9,9,9,9,0,0,0,1,0,0,0,0,0,12,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1061,39503,3,7,0,9,9,9,9,9,0,0,0,0,1,0,0,0,0,01,9,1,1,0,1,0,0,1,0,0,0,40,0,1,1,1,1,1
1062,22470,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1063,18890,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,3,0
1064,20799,1,2,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,01,1,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1065,15858,4,9,0,9,9,9,9,9,0,0,0,0,1,0,0,0,0,01,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,2,1
1066,17549,2,3,0,9,9,9,9,9,1,1,1,0,0,0,0,0,0,18,6,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1067,14564,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1068,13358,1,2,0,9,9,9,9,9,1,1,0,1,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1069,29284,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1070,14692,3,6,0,9,9,9,9,9,1,0,1,0,0,0,0,1,0,08,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,1,1,1
1071,9001,1,1,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1072,15485,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1073,40979,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,1,1,1,1
1074,21252,4,9,0,9,9,9,9,9,1,0,0,1,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,4,0
1075,26831,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,3,1
1076,20332,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1077,22470,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1078,12956,3,6,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,15,1,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1079,8617,1,1,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,17,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,3,0
1080,22470,3,5,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1081,15710,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1082,16751,1,2,0,9,9,9,9,9,0,0,0,0,1,0,0,0,1,03,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1083,25755,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1084,34134,2,3,0,9,9,9,9,9,1,0,1,1,0,0,0,0,0,17,7,0,0,0,0,0,9,9,9,9,9,9999,0,5,0,0,1,1
1085,22173,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1086,22749,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1087,18175,4,9,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,05,1,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,1,1,1
1088,25025,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,12,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,0
1089,9679,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1090,26954,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1091,40963,3,5,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,15,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1092,15336,4,9,0,9,9,9,9,9,0,0,0,0,1,1,0,0,0,07,1,1,0,0,0,0,9,9,9,9,9,9999,0,4,1,1,1,1
1093,19460,4,9,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1094,36107,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,2,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1095,18302,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,0
1096,12807,3,6,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,19,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1097,20860,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1098,16533,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,8,0,0,1,1
1099,15398,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1100,8726,1,1,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,16,9,0,0,0,0,0,9,9,9,9,9,9999,1,2,0,0,1,0
1101,13183,3,6,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,14,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1102,19797,3,7,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,01,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1103,19217,3,7,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1104,26831,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,0
1105,22749,3,7,0,9,9,9,9,9,1,0,0,0,1,0,0,0,0,12,9,0,0,0,0,0,9,9,9,9,9,9999,0,5,1,1,1,1
1106,11490,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1107,24999,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,0
1108,27122,3,6,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1109,7862,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,1
1110,10870,4,8,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,15,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1111,16681,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,17,9,1,0,0,0,0,9,9,9,9,9,9999,0,9,1,1,1,1
1112,10726,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,16,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1113,21252,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1114,13160,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1115,21327,3,7,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,17,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1116,20037,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1117,10870,4,8,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1118,19424,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,2,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1119,37301,3,5,0,9,9,9,9,9,0,0,1,1,0,0,0,0,1,15,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1120,12449,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1121,23565,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1122,14642,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1123,15638,4,9,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1124,22470,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1125,44940,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,1
1126,19178,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,05,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,2,1
1127,12657,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1128,19776,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1129,24564,2,3,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1130,12926,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1131,25721,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,12,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1132,31921,2,3,0,9,9,9,9,9,0,1,1,1,0,0,0,0,0,19,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1133,8006,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1134,8621,2,4,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,16,1,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,2,0
1135,17920,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1136,22470,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1137,13089,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1138,33220,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1139,15710,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1140,35804,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1141,9613,4,8,0,9,9,9,9,9,0,1,0,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1142,18542,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,17,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1143,22108,2,3,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,17,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1144,16293,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1145,17194,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,04,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,1,1,2,1
1146,14596,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1147,22470,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1148,11211,4,8,0,9,9,9,9,9,0,0,0,0,0,0,0,1,0,08,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,1
1149,11246,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,16,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,2,0
1150,13358,1,2,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,17,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,1
1151,21815,1,1,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,3,0
1152,17884,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1153,17022,4,9,0,9,9,9,9,9,0,0,1,0,0,0,0,0,1,05,9,0,1,0,0,0,1,0,0,0,0,136,0,1,1,1,3,1
1154,18731,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,08,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,1,1,1
1155,35678,2,3,0,9,9,9,9,9,1,0,0,0,0,0,1,0,0,09,9,0,0,0,0,0,9,9,9,9,9,9999,0,4,1,1,1,1
1156,17410,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,17,7,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,4,0
1157,26823,3,7,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,03,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1158,21463,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,1,0
1159,12807,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,19,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1160,17810,1,2,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1161,13831,4,9,0,9,9,9,9,9,0,0,0,1,0,0,0,0,0,18,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1162,14146,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1163,11459,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,9,9,9,9,9,9999,0,5,0,0,1,0
1164,19831,1,2,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,08,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,1
1165,16597,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,2,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1166,16612,3,6,0,9,9,9,9,9,0,0,1,0,1,0,0,1,0,03,9,1,1,0,0,0,1,0,0,0,0,140,0,1,1,1,1,1
1167,12991,2,4,0,9,9,9,9,9,0,0,0,1,0,0,0,0,0,18,7,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,0
1168,17419,3,5,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,17,9,1,0,0,0,0,9,9,9,9,9,9999,1,2,0,0,1,0
1169,30515,4,9,0,9,9,9,9,9,0,1,1,1,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1170,26570,3,7,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
