"STUB_1","STUB_2","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Residuum","","4,806","-46","4,760","-3,804","–","-1,061","-4,865","-326","15,524","25,323","-490","–","40,031","-219","1,129","40,836"
"Motor Gasoline Blend.Comp. (MGBC)(net)","","-187,007","272","-186,735","-380,630","-70,249","-126,054","-576,933","-95,567","-560,663","-488,272","-20,839","-19,278","-1,184,619","-51,067","-407,661","-2,407,015"
"Reformulated - RBOB","","-115,487","–","-115,487","-96,175","-4,173","-1,431","-101,779","-10,440","-182,855","-51,040","–","-8,925","-253,260","–","-311,068","-781,594"
"Conventional","","-71,520","272","-71,248","-284,455","-66,076","-124,623","-475,154","-85,127","-377,808","-437,232","-20,839","-10,353","-931,359","-51,067","-96,593","-1,625,421"
"CBOB","","-66,521","145","-66,376","-284,455","-67,199","-124,539","-476,193","-82,800","-324,906","-410,506","-20,298","-10,276","-848,786","-51,293","-102,495","-1,545,143"
"GTAB","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","","-4,999","127","-4,872","0","1,123","-84","1,039","-2,327","-52,902","-26,726","-541","-77","-82,573","226","5,902","-80,278"
"Aviation Gasoline Blend. Comp. (net)","","–","–","–","–","–","–","–","1","–","69","–","–","70","–","–","70"
"Total Input to Refineries","","218,229","34,722","252,951","479,895","109,857","174,982","764,734","150,676","1,074,586","851,311","63,676","28,908","2,169,157","179,926","514,703","3,881,471"
"Atmospheric Crude Oil Distillation","Gross Input (daily average)","1,026","93","1,119","2,283","481","797","3,562","651","4,215","3,425","203","125","8,618","599","2,533","16,431"
"Atmospheric Crude Oil Distillation","Operable Capacity (daily average)","1,173","98","1,271","2,527","491","850","3,869","693","4,607","3,665","243","128","9,336","649","2,933","18,058"
"Atmospheric Crude Oil Distillation","Operable Utilization Rate (percent)","87.5","94.5","88.1","90.4","98.0","93.8","92.1","93.9","91.5","93.5","83.5","97.7","92.3","92.2","86.4","91.0"
"Downstream Processing   Fresh Feed Input (daily average)","Catalytic Reforming","166","15","181","429","76","149","654","134","655","547","31","25","1,392","100","399","2,726"
"Downstream Processing   Fresh Feed Input (daily average)","Catalytic Cracking","391","16","406","714","133","205","1,052","176","1,363","1,014","19","35","2,606","166","623","4,854"
"Downstream Processing   Fresh Feed Input (daily average)","Catalytic Hydrocracking","35","–","35","151","49","52","253","44","475","417","13","–","948","19","436","1,691"
"Downstream Processing   Fresh Feed Input (daily average)","Delayed and Fluid Coking","52","–","52","305","54","80","439","26","749","549","23","–","1,347","68","447","2,352"
"Crude Oil Qualities","Sulfur Content, Weighted Average (percent)","0.74","1.63","0.82","1.61","1.99","0.72","1.46","0.68","1.70","1.37","1.53","0.58","1.47","1.37","1.29","1.39"
"Crude Oil Qualities","API Gravity, Weighted Average (degrees)","34.17","32.16","34.00","32.13","30.11","37.35","32.99","39.51","30.18","30.53","32.00","38.91","31.23","33.36","28.53","31.46"
"Operable Capacity (daily average)","","1,173","98","1,271","2,527","491","850","3,869","693","4,607","3,665","243","128","9,336","649","2,933","18,058"
"Operating","","1,151","98","1,250","2,503","485","832","3,820","684","4,574","3,644","243","128","9,272","644","2,838","17,824"
"Idle","","21","–","21","24","6","18","48","10","33","21","–","–","64","5","96","234"
"Alaskan Crude Oil Receipts","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","172,823","172,823"
