"Table 32.  Stocks of Crude Oil and Petroleum Products by PAD District,  2005",,,,,,,,,,
,,,Pipeline,,438,965,88,0,"1,578","3,069"
Aviation Gasoline Blending Components,,,,,139,47,4,0,0,190
,Refinery,,,,139,47,4,0,0,190
Finished Motor Gasoline,,,,,"38,930","40,183","44,027","4,336","8,332","135,808"
,Refinery,,,,"4,568","5,723","12,879","2,179","2,819","28,168"
,Bulk Terminal,,,,"22,344","18,371","11,288",836,"4,655","57,494"
,Pipeline,,,,"12,018","16,089","19,860","1,321",858,"50,146"
,Reformulated,,,,"11,727",127,"7,043",0,"1,140","20,037"
,,Refinery,,,"2,311",0,"1,929",0,325,"4,565"
,,Bulk Terminal,,,"6,303",99,"2,209",0,684,"9,295"
,,Pipeline,,,"3,113",28,"2,905",0,131,"6,177"
,,Reformulated (Blended with Ether),,,"11,287",122,"6,406",0,495,"18,310"
,,,Refinery,,"2,311",0,"1,806",0,0,"4,117"
,,,Bulk Terminal,,"5,863",94,"2,194",0,495,"8,646"
,,,Pipeline,,"3,113",28,"2,406",0,0,"5,547"
,,Reformulated (Blended with Alcohol),,,64,0,0,0,14,78
,,,Refinery,,0,0,0,0,14,14
,,,Bulk Terminal,,64,0,0,0,0,64
,,,Pipeline,,0,0,0,0,0,0
,,Reformulated (Non-Oxygenated),,,376,5,637,0,631,"1,649"
,,,Refinery,,0,0,123,0,311,434
,,,Bulk Terminal,,376,5,15,0,189,585
,,,Pipeline,,0,0,499,0,131,630
,Conventional,,,,"27,203","40,056","36,984","4,336","7,192","115,771"
,,Refinery,,,"2,257","5,723","10,950","2,179","2,494","23,603"
,,Bulk Terminal,,,"16,041","18,272","9,079",836,"3,971","48,199"
,,Pipeline,,,"8,905","16,061","16,955","1,321",727,"43,969"
,,Conventional (Blended with Alcohol),,,0,0,0,2,0,2
,,,Refinery,,0,0,0,2,0,2
,,,Bulk Terminal,,0,0,0,0,0,0
,,,Pipeline,,0,0,0,0,0,0
,,Conventional (Other),,,"27,203","40,056","36,984","4,334","7,192","115,769"
,,,Refinery,,"2,257","5,723","10,950","2,177","2,494","23,601"
,,,Bulk Terminal,,"16,041","18,272","9,079",836,"3,971","48,199"
,,,Pipeline,,"8,905","16,061","16,955","1,321",727,"43,969"
Finished Aviation Gasoline,,,,,91,349,414,33,330,"1,217"
,,Refinery,,,0,123,328,32,188,671
,,Bulk Terminal,,,91,201,86,1,142,521
,,Pipeline,,,0,25,0,0,0,25
Kerosene-Type Jet Fuel,,,,,"8,956","7,979","13,733",684,"10,389","41,741"
,,Refinery,,,635,"1,645","5,293",258,"3,823","11,654"
,,Bulk Terminal,,,"4,195","2,086","3,075",214,"4,794","14,364"
,,Pipeline,,,"4,126","4,248","5,365",212,"1,772","15,723"
Kerosene,,,,,"3,396",910,626,76,84,"5,092"
,,Refinery,,,177,351,350,35,71,984
,,Bulk Terminal,,,"3,007",517,276,0,5,"3,805"
,,Pipeline,,,212,42,0,41,8,303
Distillate Fuel Oilb,,,,,"58,581","29,107","31,834","2,886","13,614","136,022"
,,Refinery,,,"4,638","6,876","12,644","1,478","5,493","31,129"
,,Bulk Terminal,,,"44,010","11,069","7,205",656,"5,593","68,533"
,,Pipeline,,,"9,933","11,162","11,985",752,"2,528","36,360"
,15 ppm sulfur and Under,,,,612,150,103,0,927,"1,792"
,,Refinery,,,0,88,68,0,290,446
,,Bulk Terminal,,,612,51,35,0,534,"1,232"
,,Pipeline,,,0,11,0,0,103,114
,Greater than 15 ppm to 500 ppm sulfur,,,,"21,163","21,639","22,065","2,361","9,915","77,143"
,,Refinery,,,"2,499","4,356","7,084","1,011","3,778","18,728"
,,Bulk Terminal,,,"14,136","8,765","5,351",615,"4,039","32,906"
,,Pipeline,,,"4,528","8,518","9,630",735,"2,098","25,509"
,Greater than 500 ppm sulfur,,,,"36,806","7,318","9,666",525,"2,772","57,087"
,,Refinery,,,"2,139","2,432","5,492",467,"1,425","11,955"
,,Bulk Terminal,,,"29,262","2,253","1,819",41,"1,020","34,395"
,,Pipeline,,,"5,405","2,633","2,355",17,327,"10,737"
Residual Fuel Oilf,,,,,"14,514","1,814","15,742",254,"5,063","37,387"
,,Refinery,,,"1,840","1,284","4,233",254,"2,394","10,005"
,,Bulk Terminal,,,"12,674",530,"11,509",0,"2,494","27,207"
,,Pipeline,,,0,0,0,0,175,175
,Less than 0.31% Sulfur,,,,"4,383",265,995,9,279,"5,931"
,,Refinery,,,839,0,159,9,122,"1,129"
,,Bulk Terminal,,,"3,544",265,836,0,157,"4,802"
,0.31% to 1.00% Sulfur,,,,"5,871",185,"4,494",60,"1,039","11,649"
,,Refinery,,,697,78,435,60,842,"2,112"
,,Bulk Terminal,,,"5,174",107,"4,059",0,197,"9,537"
,Greater than 1.00% Percent Sulfur,,,,"4,260","1,364","10,253",185,"3,570","19,632"
,,Refinery,,,304,"1,206","3,639",185,"1,430","6,764"
,,Bulk Terminal,,,"3,956",158,"6,614",0,"2,140","12,868"
Petrochemical Feedstocks,,,,,443,446,"2,354",0,188,"3,431"
,Refinery,,,,443,446,"2,354",0,188,"3,431"
,,Naphtha for Petrochemical Feedstock Use,,,443,349,"1,163",0,0,"1,955"
,,Other Oils for Petrochemical Feedstock Use,,,0,97,"1,191",0,188,"1,476"
Special Naphthas,,,,,73,295,"1,116",3,37,"1,524"
,,Refinery,,,30,225,"1,042",3,37,"1,337"
,,Bulk Terminal,,,43,70,74,0,0,187
Lubricants,,,,,"1,988",940,"5,578",0,"1,147","9,653"
,,Refinery,,,626,277,"4,225",0,698,"5,826"
,,Bulk Terminal,,,"1,362",663,"1,353",0,449,"3,827"
Waxes,,,,,167,75,281,26,0,549
,,Refinery,,,167,75,281,26,0,549
Petroleum Coke,,,,,34,"1,364","5,606",91,"2,671","9,766"
,,Refinery,,,34,"1,364","5,606",91,"2,671","9,766"
Asphalt and Road Oil,,,,,"4,601","8,761","4,176","1,702","1,807","21,047"
,,Refinery,,,"1,337","4,629","2,682","1,293","1,128","11,069"
,,Bulk Terminal,,,"3,264","4,132","1,494",409,679,"9,978"
Miscellaneous Products,,,,,109,231,911,5,174,"1,430"
,,Refinery,,,32,98,273,1,79,483
,,Bulk Terminal,,,77,129,587,4,95,892
,,Pipeline,,,0,4,51,0,0,55
"Total Stocks, All Oils",,,,,"174,914","221,686","1,126,294","30,377","144,333","1,697,604"
