VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
USENGLPG,Both natural gas and bottled gas (LPG) used,6,47,Numeric
NGLPGFU,Do you use natural gas or bottled gas (LPG),6,48,Numeric
PELHEAT,Who pays electric for home heat,6,49,Numeric
PELHOTWA,Who pays electric for hot water,6,50,Numeric
PELCOOK,Who pays electric for cooking,6,51,Numeric
PELAC,Who pays electric for AC,6,52,Numeric
PELLIGHT,Who pays electric for light/appliances,6,53,Numeric
PGASHEAT,Who pays natural gas for heat,6,54,Numeric
PGASHTWA,Who pays natural gas for hot water,6,55,Numeric
PUGCOOK,Who pays natural gas for cooking,6,56,Numeric
PUGOTH,Who pays natural gas for appliances,6,57,Numeric
FOPAY,Who pays for fuel oil,6,58,Numeric
LPGPAY,Who pays for bottled gas,6,59,Numeric
HOWPAID,How utilities are paid,6,60,Numeric
HOWPAYEL,How electricity is paid,6,61,Numeric
HOWPAYNG,How Natural gas is paid,6,62,Numeric
HOWPAYLP,How LPG is paid,6,63,Numeric
HOWPAYFO,How fuel oil is paid,6,64,Numeric
HOWPAYKR,How kerosene is paid,6,65,Numeric
LPGDELV,Is bottled gas delivered to your home,6,66,Numeric
NDIFLPCO,How many co  delivered bottled gas past 12 mon,6,67,Numeric
NLPDELNC,How many deliveries did you get past 12 months,6,68,Numeric
QUANTFO,How many gallons did you use in past 12 months,6,69,Numeric
FODEL,Is fuel oil delivered to your home,6,70,Numeric
NDIFFOCO,How many co  delivered FO to you past 12 months,6,71,Numeric
NFODELNC,How many FO deliveries  you get past 12 months,6,72,Numeric
KERODEL,Is kerosene delivered to your home,6,73,Numeric
NDIFKRCO,How many co  delivered kerosene to your home,6,74,Numeric
KEROCASH,Do you use cash to buy KR past 12 months,6,75,Numeric
NOCRCASH,How many times did you buy KR past 12 months,6,76,Numeric
NKRGALNC,How many gallons did you buy KR and bring home,6,77,Numeric
PRICEKER,How much per gallon did you pay for kerosene,6,78,Numeric
TOTPAYKR,How much did you pay for kerosene each time,6,79,Numeric
WOODLOGS,Use Wood logs or split wood as a fuel in house,6,80,Numeric
WDSCRAP,Use Wood scraps as a fuel in house,6,81,Numeric
WDPELLET,Use Wood pellets as a fuel in house,6,82,Numeric
WOODAMT,Amount of wood burned,6,83,Numeric
CORDPLUS,Number of cords of wood burned,6,84,Numeric
CORDPLUSA,Number of cords of wood in excess of 3 burned,6,85,Numeric
CORDTEN,Summary number of cords of wood burned,6,86,Numeric
ZUSEEL,Imputation Flag for USEEL,6,87,Numeric
ZUSENG,Imputation Flag for USENG,6,88,Numeric
ZUSELP,Imputation Flag for USELP,6,89,Numeric
ZUSEFO,Imputation Flag for USEFO,6,90,Numeric
ZUSEKERO,Imputation Flag for USEKERO,6,91,Numeric
ZUSEWOOD,Imputation Flag for USEWOOD,6,92,Numeric
ZUSESOLAR,Imputation Flag for USESOLAR,6,93,Numeric
ZUSEOTH,Imputation Flag for USEOTH,6,94,Numeric
ZELWARM,Imputation Flag for ELWARM,6,95,Numeric
ZELFOOD,Imputation Flag for ELFOOD,6,96,Numeric
ZELWATER,Imputation Flag for ELWATER,6,97,Numeric
ZELCOOL,Imputation Flag for ELCOOL,6,98,Numeric
ZELOTHER,Imputation Flag for ELOTHER,6,99,Numeric
ZUGWARM,Imputation Flag for UGWARM,6,100,Numeric
ZUGWATER,Imputation Flag for UGWATER,6,101,Numeric
ZUGCOOK,Imputation Flag for UGCOOK,6,102,Numeric
ZUGOTH,Imputation Flag for UGOTH,6,103,Numeric
ZLPWARM,Imputation Flag for LPWARM,6,104,Numeric
ZLPWATER,Imputation Flag for LPWATER,6,105,Numeric
ZLPCOOK,Imputation Flag for LPCOOK,6,106,Numeric
ZLPGRILL,Imputation Flag for LPGRILL,6,107,Numeric
ZLPOTHER,Imputation Flag for LPOTHER,6,108,Numeric
ZFOWARM,Imputation Flag for FOWARM,6,109,Numeric
ZFOWATER,Imputation Flag for FOWATER,6,110,Numeric
ZFOOTHER,Imputation Flag for FOOTHER,6,111,Numeric
ZKRWARM,Imputation Flag for KRWARM,6,112,Numeric
ZKRWATER,Imputation Flag for KRWATER,6,113,Numeric
ZKROTHER,Imputation Flag for KROTHER,6,114,Numeric
ZWDWARM,Imputation Flag for WDWARM,6,115,Numeric
ZWDWATER,Imputation Flag for WDWATER,6,116,Numeric
ZWDOTHER,Imputation Flag for WDOTHER,6,117,Numeric
ZSOLWARM,Imputation Flag for SOLWARM,6,118,Numeric
ZSOLWATER,Imputation Flag for SOLWATER,6,119,Numeric
ZSOLPOOL,Imputation Flag for SOLPOOL,6,120,Numeric
ZSOLOTHER,Imputation Flag for SOLOTHER,6,121,Numeric
ZOTHCOOK,Imputation Flag for OTHCOOK,6,122,Numeric
ZUSENGLPG,Imputation Flag for USENGLPG,6,123,Numeric
ZNGLPGFU,Imputation Flag for NGLPGFU,6,124,Numeric
ZPELHEAT,Imputation Flag for PELHEAT,6,125,Numeric
ZPELHOTWA,Imputation Flag for PELHOTWA,6,126,Numeric
ZPELCOOK,Imputation Flag for PELCOOK,6,127,Numeric
ZPELAC,Imputation Flag for PELAC,6,128,Numeric
ZPELLIGHT,Imputation Flag for PELLIGHT,6,129,Numeric
ZPGASHEAT,Imputation Flag for PGASHEAT,6,130,Numeric
ZPGASHTWA,Imputation Flag for PGASHTWA,6,131,Numeric
ZPUGCOOK,Imputation Flag for PUGCOOK,6,132,Numeric
ZPUGOTH,Imputation Flag for PUGOTH,6,133,Numeric
